StartTime,NowTime,PathTime
9/18/2018 5:33:52 PM,9/18/2018 5:33:52 PM,00:00:03.1172140
9/18/2018 5:33:52 PM,9/18/2018 5:33:52 PM,00:00:03.1620789
9/18/2018 5:33:52 PM,9/18/2018 5:33:52 PM,00:00:03.2159330
9/18/2018 5:33:52 PM,9/18/2018 5:33:52 PM,00:00:03.2488133
9/18/2018 5:33:52 PM,9/18/2018 5:33:52 PM,00:00:03.2927074
9/18/2018 5:33:52 PM,9/18/2018 5:33:52 PM,00:00:03.3176481
9/18/2018 5:33:52 PM,9/18/2018 5:33:52 PM,00:00:03.3365643
9/18/2018 5:33:52 PM,9/18/2018 5:33:52 PM,00:00:03.3650886
9/18/2018 5:33:52 PM,9/18/2018 5:33:52 PM,00:00:03.3800650
9/18/2018 5:33:52 PM,9/18/2018 5:33:52 PM,00:00:03.3929926
9/18/2018 5:33:52 PM,9/18/2018 5:33:52 PM,00:00:03.4169126
9/18/2018 5:33:52 PM,9/18/2018 5:33:52 PM,00:00:03.5007051
9/18/2018 5:33:52 PM,9/18/2018 5:33:52 PM,00:00:03.5226945
9/18/2018 5:33:52 PM,9/18/2018 5:33:52 PM,00:00:03.5416417
9/18/2018 5:33:52 PM,9/18/2018 5:33:52 PM,00:00:03.5625404
9/18/2018 5:33:52 PM,9/18/2018 5:33:52 PM,00:00:03.6094529
9/18/2018 5:33:52 PM,9/18/2018 5:33:52 PM,00:00:03.6363489
9/18/2018 5:33:52 PM,9/18/2018 5:33:52 PM,00:00:03.6523529
9/18/2018 5:33:52 PM,9/18/2018 5:33:52 PM,00:00:03.6921759
9/18/2018 5:33:52 PM,9/18/2018 5:33:52 PM,00:00:03.7141649
9/18/2018 5:33:52 PM,9/18/2018 5:33:52 PM,00:00:03.7690105
9/18/2018 5:33:52 PM,9/18/2018 5:33:52 PM,00:00:03.7839799
9/18/2018 5:33:52 PM,9/18/2018 5:33:52 PM,00:00:03.8029133
9/18/2018 5:33:52 PM,9/18/2018 5:33:52 PM,00:00:03.8597471
9/18/2018 5:33:52 PM,9/18/2018 5:33:52 PM,00:00:03.8996422
9/18/2018 5:33:52 PM,9/18/2018 5:33:52 PM,00:00:03.9176388
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:03.9614866
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:03.9963642
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.0233368
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.0701943
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.0841871
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.1040753
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.1170762
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.1360184
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.1799158
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.2078369
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.2557129
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.2835961
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.3195404
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.3534516
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.4012827
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.5020314
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.6137214
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.6446675
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.6615963
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.6755698
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.6945444
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.7274641
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.7444144
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.7823108
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.7992615
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.8242091
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.8441213
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.8680941
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.8840022
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.9019893
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.9189206
9/18/2018 5:33:53 PM,9/18/2018 5:33:53 PM,00:00:04.9348882
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:04.9647887
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:04.9867646
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.0026884
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.0276688
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.0575252
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.0804996
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.0964208
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.1433227
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.1602497
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.2021586
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.2211121
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.2386590
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.2696156
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.2995333
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.3114683
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.4242005
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.4400977
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.4940261
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.5199284
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.5349008
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.5538473
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.5688809
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.6047257
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.6217362
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.6386453
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.6561707
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.6776236
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.7015009
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.7190300
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.7329765
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.7798427
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.7938508
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.8177876
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.8376844
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.8572356
9/18/2018 5:33:54 PM,9/18/2018 5:33:54 PM,00:00:05.8812000
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:05.9460005
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:05.9601279
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:05.9850441
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.0000339
9/18/2018 5:33:55 PM,9/18/2018 5:33:55 PM,00:00:06.0215372
