k,theta,eyevectorX,eyevectorY,eyevectorZ,truthvectorX,truthvectorY,truthvectorZ
1,1.299052,-0.3829951,0.4184917,0.8235165,-9.814378,9.949042,20.65032
1,1.307909,-0.3828486,0.4186007,0.8235292,-9.81426,9.949162,20.65089
1,1.345085,-0.382325,0.4190639,0.8235369,-9.814273,9.949197,20.6509
1,1.355375,-0.38227,0.4192325,0.8234767,-9.814309,9.949133,20.65071
1,1.391283,-0.3817205,0.4196637,0.823512,-9.814358,9.949042,20.65042
1,1.397878,-0.3816381,0.4197448,0.8235087,-9.814319,9.949034,20.65064
1,1.408894,-0.3814003,0.4198447,0.823568,-9.814276,9.949013,20.65085
1,1.427659,-0.3812308,0.4201176,0.8235073,-9.814188,9.948962,20.65087
1,1.432312,-0.3812095,0.4201954,0.8234774,-9.814199,9.948963,20.65089
1,1.44035,-0.381185,0.4203332,0.8234184,-9.814254,9.948815,20.65024
1,1.445097,-0.3812118,0.4204304,0.8233565,-9.814275,9.948771,20.65013
1,1.457234,-0.3810075,0.420562,0.8233838,-9.81437,9.948682,20.64964
1,1.479094,-0.380412,0.4207062,0.8235855,-9.81428,9.948655,20.64984
1,1.484904,-0.3803333,0.4207797,0.8235843,-9.814363,9.948611,20.64929
1,1.487669,-0.380262,0.4207976,0.823608,-9.814418,9.948562,20.64872
1,1.493707,-0.380126,0.4208486,0.8236448,-9.814367,9.948639,20.64908
1,1.500113,-0.3800945,0.4209528,0.823606,-9.814388,9.948576,20.64878
1,1.506102,-0.3797816,0.4209177,0.8237684,-9.814507,9.94854,20.64841
1,1.512326,-0.3797289,0.4210048,0.8237481,-9.814621,9.94852,20.64807
1,1.519555,-0.3796,0.4210828,0.8237677,-9.81461,9.948486,20.64793
1,1.512973,-0.3797457,0.4210224,0.8237314,-9.814755,9.948463,20.64757
1,1.508828,-0.379832,0.4209874,0.8237095,-9.814738,9.94844,20.64744
1,1.499069,-0.3802561,0.4210074,0.8235035,-9.814841,9.948438,20.64713
1,1.494362,-0.3804757,0.4210204,0.8233955,-9.814931,9.948438,20.64684
1,1.489772,-0.3806766,0.4210215,0.823302,-9.814939,9.948412,20.64681
1,1.480945,-0.3809477,0.4209757,0.8232,-9.815009,9.948399,20.64662
1,1.47419,-0.3811426,0.4209433,0.8231264,-9.81467,9.948673,20.64802
1,1.471001,-0.3815395,0.4210522,0.8228868,-9.814338,9.949134,20.64957
1,1.473393,-0.381559,0.4211093,0.8228486,-9.814199,9.949522,20.6508
1,1.472995,-0.3816674,0.4211441,0.8227805,-9.814186,9.949575,20.65091
1,1.474721,-0.3818234,0.4212422,0.8226578,-9.814266,9.949856,20.651
1,1.475915,-0.3819509,0.4213189,0.8225594,-9.814555,9.950138,20.65034
1,1.481869,-0.3821481,0.4215053,0.8223723,-9.814632,9.95059,20.65059
1,1.488589,-0.3821869,0.4216464,0.8222819,-9.814793,9.950723,20.65014
1,1.489903,-0.3823091,0.4217186,0.822188,-9.814832,9.950986,20.65021
1,1.503631,-0.3822663,0.4219511,0.8220887,-9.814754,9.95122,20.65088
1,1.515687,-0.3821522,0.4221298,0.82205,-9.814727,9.951344,20.65096
1,1.513878,-0.3818529,0.4219989,0.8222563,-9.814836,9.951369,20.65073
1,1.511031,-0.3817776,0.4219202,0.8223315,-9.814803,9.951557,20.65126
1,1.504282,-0.3815868,0.4217379,0.8225136,-9.814756,9.951696,20.65157
1,1.483981,-0.3816204,0.4213851,0.8226789,-9.814816,9.951777,20.65179
1,1.474323,-0.3815516,0.4211858,0.8228128,-9.814793,9.951898,20.65221
1,1.469137,-0.3816025,0.421112,0.822827,-9.814718,9.952004,20.65285
1,1.460051,-0.3816772,0.420977,0.8228614,-9.814768,9.952046,20.65276
1,1.436949,-0.3816701,0.4205577,0.8230791,-9.814802,9.952077,20.65288
1,1.432448,-0.3817393,0.4205041,0.8230744,-9.814827,9.952167,20.65306
1,1.423541,-0.3816464,0.4203014,0.8232209,-9.814857,9.952212,20.65342
1,1.413332,-0.3813962,0.420009,0.8234861,-9.815038,9.952145,20.65293
1,1.389312,-0.3813946,0.4195594,0.823716,-9.815173,9.952144,20.65296
1,1.385786,-0.3813695,0.419466,0.8237752,-9.81549,9.951757,20.65226
1,1.36573,-0.3815416,0.4191618,0.8238504,-9.815688,9.951653,20.65193
1,1.34188,-0.3818218,0.4188376,0.8238854,-9.815839,9.951521,20.65162
1,1.331486,-0.381941,0.4186928,0.8239037,-9.816069,9.951241,20.65116
1,1.312688,-0.3820255,0.4183702,0.8240284,-9.816216,9.951051,20.65088
1,1.292406,-0.3821124,0.4180183,0.8241668,-9.816395,9.950805,20.65044
1,1.277328,-0.3821978,0.4177726,0.8242518,-9.816472,9.950725,20.65041
1,1.243168,-0.3823709,0.4171966,0.8244631,-9.816614,9.950592,20.65002
1,1.222533,-0.3824276,0.4168354,0.8246195,-9.816694,9.950446,20.64963
1,1.211277,-0.3821997,0.4165013,0.824894,-9.816748,9.950358,20.64947
1,1.207718,-0.3821487,0.4163992,0.8249692,-9.816814,9.950254,20.64913
1,1.202847,-0.38191,0.4161707,0.825195,-9.81686,9.950153,20.64898
1,1.202684,-0.3815672,0.4159636,0.825458,-9.816911,9.950023,20.64865
1,1.201219,-0.3813903,0.4158247,0.8256096,-9.81703,9.949943,20.64819
1,1.197466,-0.3811529,0.4155934,0.8258356,-9.817095,9.949946,20.64791
1,1.198283,-0.3810332,0.4155338,0.8259209,-9.817143,9.949915,20.64772
1,1.211439,-0.3805822,0.4154981,0.8261468,-9.817181,9.949894,20.64746
1,1.213375,-0.3804491,0.4154456,0.8262345,-9.817244,9.949914,20.64706
1,1.233846,-0.3799493,0.4155235,0.8264253,-9.817264,9.950026,20.64693
1,1.239069,-0.3798711,0.4155771,0.8264343,-9.817371,9.950088,20.64649
1,1.250075,-0.3796348,0.415636,0.8265133,-9.817472,9.950118,20.64603
