StartTime,StartMilli,PathTime,PathMilli,FPS,SpinSpeed,EyeLeftX,EyeLeftY,EyeLeftY,EyeRightX,EyeRightX,EyeRightX,EyeLeftvecX,EyeLeftvecY,EyeLeftvecY,EyeRightXvec,EyeRightvecX,EyeRightvecX,hitX,hitY,hitZ,HMDposX,HMDposY,HMDposZ,HMDrotX,HMDrotY,HMDrotZ,vection
12/6/2018 3:16:46 PM,545,00:00:00,545,60.38748,90,-0.1251766,0.240323,-0.02935615,-0.0689982,0.2403311,-0.06001532,-0.3080532,0.2391272,0.9208265,-0.2968214,0.2768705,0.9139145,0.8965138,0.9600046,5,-0.1208096,0.1658545,-0.08817255,-0.05972042,-0.2467304,0.01517106,-0.9671233,0
12/6/2018 3:16:46 PM,562,00:00:00.0169547,562,60.38748,90,-0.125117,0.2403187,-0.02927704,-0.06896655,0.240318,-0.0599874,-0.3097915,0.2391411,0.9202395,-0.2991789,0.2835809,0.9110839,0.8727446,0.9815825,5,-0.120833,0.1658745,-0.08813035,-0.05997641,-0.2471627,0.0153349,-0.9669945,0
12/6/2018 3:16:46 PM,579,00:00:00.0339094,579,60.38748,90,-0.1250454,0.2403292,-0.02922463,-0.06891229,0.240325,-0.05996663,-0.3112572,0.2397563,0.9195846,-0.3019358,0.2877664,0.9088593,0.8596068,0.9969096,4.979971,-0.1208019,0.1658883,-0.08808506,-0.06001478,-0.2474326,0.01539159,-0.9669222,0
12/6/2018 3:16:46 PM,595,00:00:00.0508635,595,60.38748,90,-0.1249825,0.2403381,-0.02925833,-0.06887206,0.2403327,-0.06004168,-0.3118719,0.2399908,0.9193151,-0.3028614,0.2883715,0.9083594,0.8478376,1.007468,4.962737,-0.1207854,0.1658991,-0.08812439,-0.0600305,-0.2477879,0.01542879,-0.9668296,0
12/6/2018 3:16:46 PM,611,00:00:00.0668212,611,60.38748,90,-0.1249447,0.2403101,-0.02911299,-0.06885403,0.2403051,-0.05993244,-0.3120714,0.239638,0.9193395,-0.30357,0.2885618,0.9080625,0.8441898,1.007945,4.949022,-0.1207833,0.1658688,-0.08797872,-0.0600023,-0.2480996,0.01543904,-0.9667512,0
12/6/2018 3:16:46 PM,628,00:00:00.0837770,628,60.38748,90,-0.1249553,0.2403568,-0.02920922,-0.0688773,0.2403421,-0.06005171,-0.3098234,0.2400752,0.9199855,-0.3040143,0.2885672,0.907912,0.8420571,1.007383,4.939379,-0.1208208,0.1659009,-0.08805835,-0.05988496,-0.2482951,0.01550006,-0.9667073,0
12/6/2018 3:16:46 PM,645,00:00:00.1007307,645,60.38748,90,-0.124954,0.2403606,-0.02915925,-0.06888101,0.2403184,-0.06001073,-0.3061288,0.2398122,0.92129,-0.3040642,0.2884271,0.9079399,0.8465701,1.009153,4.931796,-0.1208486,0.1658793,-0.08797824,-0.05971646,-0.2483616,0.01568327,-0.9666977,0
12/6/2018 3:16:46 PM,661,00:00:00.1166895,661,60.38748,90,-0.1249338,0.2404221,-0.02909886,-0.06885706,0.2403406,-0.05994348,-0.3053241,0.2391386,0.921732,-0.3040717,0.2882964,0.9079788,0.8553979,1.009512,4.926844,-0.1208515,0.1659076,-0.08787751,-0.05950928,-0.2482864,0.01594233,-0.9667256,0
12/6/2018 3:16:46 PM,678,00:00:00.1336424,678,60.38748,90,-0.1249176,0.2404538,-0.02901498,-0.06883164,0.2403484,-0.05984286,-0.3049265,0.2386599,0.9219877,-0.3038441,0.2882096,0.9080825,0.8568851,1.008264,4.926281,-0.1208344,0.1659168,-0.08776498,-0.0593616,-0.2481329,0.0160876,-0.9667717,0
12/6/2018 3:16:46 PM,694,00:00:00.1496009,694,60.38748,90,-0.1249426,0.2404839,-0.02915726,-0.06884243,0.2403595,-0.05995909,-0.3041303,0.2384785,0.9222975,-0.303383,0.2880481,0.9082879,0.8575053,1.008802,4.929336,-0.1208431,0.1659255,-0.08787894,-0.05921198,-0.2479016,0.01618798,-0.9668385,0
