StartTime,StartMilli,PathTime,PathMilli,FPS,SpinSpeed,EyeLeftX,EyeLeftY,EyeLeftY,EyeRightX,EyeRightX,EyeRightX,EyeLeftvecX,EyeLeftvecY,EyeLeftvecY,EyeRightXvec,EyeRightvecX,EyeRightvecX,hitX,hitY,hitZ,HMDposX,HMDposY,HMDposZ,HMDrotX,HMDrotY,HMDrotZ,vection
12/6/2018 3:58:03 PM,482,00:00:00,482,60.39197,90,0.07335503,0.05101274,-0.5982484,0.1369726,0.04785727,-0.6044815,-0.0006983624,-0.001222533,0.999999,-0.1960555,-0.3735268,0.9066642,0.1237648,0.6363758,5,0.09933995,-0.0385671,-0.6162549,-0.1458409,0.05185243,-0.017301,0.9877968,0
12/6/2018 3:58:03 PM,499,00:00:00.0169522,499,60.39197,90,0.07336085,0.05090778,-0.5973156,0.1369775,0.04776362,-0.6035638,-0.0008000336,-0.001022275,0.9999992,-0.1960689,-0.373525,0.906662,0.1244642,0.6363742,5,0.09935473,-0.03866218,-0.6153584,-0.1456786,0.05195332,-0.01720491,0.9878171,0
12/6/2018 3:58:03 PM,516,00:00:00.0339055,516,60.39197,90,0.07337254,0.05086876,-0.597047,0.1369893,0.04773216,-0.6032979,-0.0007498165,-0.0009651993,0.9999993,-0.1960723,-0.3734683,0.9066846,0.1225665,0.6331314,4.998498,0.09937562,-0.03869683,-0.6150981,-0.1456413,0.05196555,-0.01714517,0.987823,0
12/6/2018 3:58:03 PM,532,00:00:00.0507005,532,60.39197,90,0.07333605,0.05084204,-0.5965695,0.1369539,0.04772239,-0.6028172,-0.0005543269,-0.001020114,0.9999993,-0.1958767,-0.3734286,0.9067433,0.1205716,0.6305382,5.00047,0.09936382,-0.03871642,-0.6146204,-0.1456412,0.05192112,-0.01701749,0.9878275,0
12/6/2018 3:58:03 PM,548,00:00:00.0666590,548,60.39197,90,0.07335041,0.05079752,-0.5961586,0.1369699,0.04769093,-0.6023965,-0.0003289155,-0.001221244,0.9999992,-0.1955717,-0.37364,0.9067221,0.1191065,0.6286325,5.006087,0.09940024,-0.03875732,-0.6141957,-0.1457005,0.0518304,-0.01692456,0.9878252,0
12/6/2018 3:58:03 PM,565,00:00:00.0836152,565,60.39197,90,0.07337591,0.050806,-0.5961595,0.1369971,0.0477088,-0.602385,-7.467021E-05,-0.001450101,0.999999,-0.1953311,-0.3732472,0.9069357,0.11794,0.6266673,5.01472,0.09944411,-0.03874827,-0.6141728,-0.145808,0.05172576,-0.0168603,0.9878159,0
12/6/2018 3:58:03 PM,582,00:00:00.1005677,582,60.39197,90,0.07336666,0.05076772,-0.5957411,0.1369894,0.04767391,-0.6019518,0.0001014478,-0.001649688,0.9999986,-0.1949609,-0.3733215,0.9069847,0.1164891,0.6267518,5.027524,0.09944567,-0.03878877,-0.6137277,-0.1459237,0.05160878,-0.01684488,0.9878052,0
12/6/2018 3:58:03 PM,598,00:00:00.1165284,598,60.39197,90,0.07337955,0.05074414,-0.5953202,0.1370035,0.04765209,-0.6015202,0.0002216711,-0.001759142,0.9999985,-0.194445,-0.3727904,0.9073139,0.115868,0.6252198,5.043974,0.09946569,-0.03881476,-0.6132846,-0.1460235,0.05152478,-0.0168383,0.9877949,0
12/6/2018 3:58:03 PM,615,00:00:00.1334893,615,60.39197,90,0.07341028,0.05069894,-0.5952415,0.1370345,0.04760721,-0.6014383,0.0002243384,-0.001633774,0.9999986,-0.1941338,-0.3724878,0.9075047,0.1156529,0.6260308,5.062858,0.09949774,-0.03885978,-0.6132048,-0.1460218,0.05149999,-0.01683944,0.9877965,0
12/6/2018 3:58:03 PM,632,00:00:00.1498347,632,60.39197,90,0.0734401,0.05066843,-0.5950037,0.137064,0.04757285,-0.6012017,0.0001443336,-0.001357415,0.9999991,-0.1928932,-0.3716897,0.9080964,0.1151064,0.6255777,5.086731,0.09952035,-0.03888903,-0.6129837,-0.1459289,0.05151227,-0.0168728,0.987809,0
12/6/2018 3:58:03 PM,648,00:00:00.1657895,648,60.39197,90,0.07344201,0.05061188,-0.5946742,0.1370654,0.04751302,-0.6008762,0.0001126386,-0.0009736593,0.9999995,-0.192817,-0.3721869,0.9079089,0.1176086,0.6268631,5.112103,0.09951405,-0.03894207,-0.6126837,-0.145772,0.05154403,-0.01690188,0.98783,0
12/6/2018 3:58:03 PM,664,00:00:00.1827450,664,60.39197,90,0.07343297,0.05056462,-0.5943244,0.1370565,0.0474691,-0.6005263,0.0001810204,-0.0006456751,0.9999998,-0.1923735,-0.3755683,0.9066096,0.115934,0.6243041,5.142031,0.09950698,-0.0389826,-0.6123643,-0.1456016,0.05153736,-0.01688493,0.9878558,0
12/6/2018 3:58:03 PM,681,00:00:00.1996994,681,60.39197,90,0.07342131,0.05047664,-0.5940481,0.1370456,0.04738649,-0.6002453,0.0002989788,-0.0003828766,0.9999999,-0.1908788,-0.3799615,0.9050937,0.1144738,0.6127598,5.177875,0.09950193,-0.03906381,-0.6121122,-0.1454564,0.05149139,-0.01685637,0.9878801,0
12/6/2018 3:58:03 PM,697,00:00:00.2156556,697,60.39197,90,0.07342269,0.05044834,-0.5938429,0.1370476,0.04735716,-0.6000322,0.0003984596,-0.0002204567,0.9999999,-0.1894548,-0.3772641,0.9065201,0.1160591,0.5983865,5.217127,0.09950232,-0.03908899,-0.6119238,-0.1453417,0.05142967,-0.01687915,0.9878998,0
12/6/2018 3:58:03 PM,714,00:00:00.2326119,714,60.39197,90,0.07343212,0.0504723,-0.5939296,0.1370576,0.04737801,-0.6001126,0.0004718035,-0.0002312787,0.9999999,-0.1890087,-0.3768582,0.906782,0.1193657,0.6083313,5.257431,0.09950855,-0.03906507,-0.6120149,-0.1453004,0.05138336,-0.01691261,0.9879076,0
12/6/2018 3:58:03 PM,731,00:00:00.2490812,731,60.36371,90,0.07344418,0.05045886,-0.5941013,0.1370701,0.04736305,-0.6002787,0.0005346422,-0.0002670715,0.9999998,-0.1875707,-0.3750446,0.9078319,0.1188809,0.6112232,5.306086,0.09952049,-0.03907998,-0.6121795,-0.1453262,0.05134232,-0.01692931,0.9879057,0
12/6/2018 3:58:03 PM,747,00:00:00.2650386,747,60.36371,90,0.0734707,0.05042835,-0.5944892,0.1370971,0.04733965,-0.6006649,0.0005809999,-0.000185014,0.9999998,-0.1861802,-0.3715537,0.909552,0.1222808,0.6189923,5.358024,0.09955736,-0.03910735,-0.612568,-0.1453213,0.05132118,-0.01687649,0.9879084,0
12/6/2018 3:58:03 PM,764,00:00:00.2819930,764,60.36371,90,0.07347368,0.05041594,-0.5947154,0.1371006,0.04734049,-0.6008925,0.0006033966,-0.0001356722,0.9999998,-0.1843726,-0.3671994,0.911686,0.1262497,0.6327279,5.411014,0.09957778,-0.0391127,-0.6128041,-0.1452749,0.05131562,-0.01677475,0.9879173,0
12/6/2018 3:58:03 PM,781,00:00:00.2989484,781,60.36371,90,0.07348095,0.05043212,-0.595072,0.1371082,0.04737108,-0.6012531,0.0005720592,-0.0001389542,0.9999998,-0.1839497,-0.3658822,0.9123008,0.1321284,0.6503882,5.467584,0.09960373,-0.03908972,-0.6131673,-0.1452531,0.05132985,-0.01665981,0.9879217,0
12/6/2018 3:58:03 PM,797,00:00:00.3149043,797,60.36371,90,0.07348864,0.05040572,-0.5952554,0.1371156,0.04735137,-0.6014426,0.0004852446,-0.0001186475,0.9999999,-0.1830961,-0.3656738,0.912556,0.1326329,0.6581181,5.535635,0.09961905,-0.03911324,-0.613354,-0.1452524,0.05136956,-0.01660104,0.9879207,0
12/6/2018 3:58:03 PM,814,00:00:00.3318602,814,60.36371,90,0.07351956,0.05035416,-0.5953518,0.1371459,0.04729917,-0.6015449,0.0003623092,-8.059345E-05,0.9999999,-0.1822828,-0.3659188,0.9126207,0.1343869,0.6621305,5.604366,0.09964706,-0.03916436,-0.6134567,-0.1452306,0.05141527,-0.01660051,0.9879215,0
12/6/2018 3:58:03 PM,830,00:00:00.3478172,830,60.36371,90,0.07354864,0.05031956,-0.5955729,0.137174,0.0472598,-0.601774,0.0001573573,-8.806271E-05,1,-0.1808278,-0.3652249,0.9131879,0.1359832,0.6654094,5.683503,0.09966698,-0.03920064,-0.6136827,-0.1452206,0.05148308,-0.01662887,0.987919,0
12/6/2018 3:58:03 PM,846,00:00:00.3647719,846,60.36371,90,0.07356884,0.05030792,-0.5955877,0.1371927,0.04723965,-0.6017995,-9.621743E-05,-0.0001704592,1,-0.1804891,-0.3653823,0.9131919,0.1403623,0.672636,5.762211,0.0996724,-0.03921621,-0.6136994,-0.1452325,0.05157596,-0.01668198,0.9879115,0
12/6/2018 3:58:03 PM,863,00:00:00.3817296,863,60.36371,90,0.07358449,0.05033687,-0.5958896,0.1372064,0.04725611,-0.6021153,-0.0003456794,-0.0003376848,0.9999999,-0.1806815,-0.3655124,0.9131019,0.1406204,0.6775913,5.85521,0.09966736,-0.03919404,-0.6139976,-0.1452822,0.05169897,-0.01676027,0.9878964,0
12/6/2018 3:58:03 PM,879,00:00:00.3976837,879,60.36371,90,0.07358775,0.05036556,-0.5959124,0.1372077,0.04726851,-0.6021502,-0.0005372649,-0.0006391448,0.9999996,-0.1805002,-0.3660208,0.912934,0.1387097,0.6835769,5.957242,0.09964616,-0.03917575,-0.6140043,-0.1453962,0.05181342,-0.01686667,0.9878719,0
12/6/2018 3:58:03 PM,896,00:00:00.4146384,896,60.36371,90,0.07358981,0.05044879,-0.5962007,0.1372086,0.04733834,-0.6024441,-0.0005842187,-0.001039161,0.9999993,-0.1797419,-0.3664729,0.9129022,0.1376408,0.6886734,6.060307,0.0996304,-0.03910327,-0.6142648,-0.1455602,0.05187547,-0.01695559,0.9878429,0
12/6/2018 3:58:03 PM,913,00:00:00.4315935,913,60.36371,90,0.07358738,0.05047587,-0.5963167,0.1372059,0.04735782,-0.6025587,-0.0005236898,-0.001450772,0.9999988,-0.1790583,-0.3659452,0.9132482,0.1383273,0.6951541,6.177001,0.09962109,-0.03908594,-0.6143425,-0.1457699,0.05187641,-0.01700502,0.9878111,0
