StartTime,StartMilli,PathTime,PathMilli,FPS,SpinSpeed,EyeLeftX,EyeLeftY,EyeLeftY,EyeRightX,EyeRightX,EyeRightX,EyeLeftvecX,EyeLeftvecY,EyeLeftvecY,EyeRightXvec,EyeRightvecX,EyeRightvecX,hitX,hitY,hitZ,HMDposX,HMDposY,HMDposZ,HMDrotX,HMDrotY,HMDrotZ,vection
12/6/2018 4:14:07 PM,892,00:00:00,892,60.35317,90,0.05773151,0.02678779,-0.5554841,0.1214541,0.02096546,-0.5542462,-0.219921,-0.35089,0.9102257,-0.2435662,-0.3456677,0.906195,-1.461539,-1.079919,5,0.08242634,-0.06061014,-0.5833367,-0.07012028,-0.006461242,-0.04610367,0.9964517,0
12/6/2018 4:14:07 PM,910,00:00:00.0179514,910,60.35317,90,0.05772868,0.0268672,-0.5555208,0.1214504,0.02103557,-0.5542804,-0.2247979,-0.3548108,0.9075104,-0.266877,-0.3500862,0.8978955,-1.574706,-1.144607,5,0.08241087,-0.06054094,-0.5833526,-0.07023656,-0.006470285,-0.04617846,0.9964399,0
12/6/2018 4:14:07 PM,926,00:00:00.0339095,926,60.35317,90,0.05767869,0.02686555,-0.5555159,0.1213998,0.02102648,-0.5542792,-0.227547,-0.3570994,0.9059262,-0.2674963,-0.3509636,0.8973686,-1.602055,-1.157969,5.044574,0.08234854,-0.06054879,-0.5833391,-0.070297,-0.006434067,-0.04623489,0.9964333,0
12/6/2018 4:14:07 PM,942,00:00:00.0498665,942,60.35317,90,0.05766019,0.02689324,-0.5553612,0.1213804,0.02104411,-0.5541296,-0.2292788,-0.3587784,0.9048255,-0.2696819,-0.3510392,0.8966845,-1.62828,-1.177948,5.091205,0.0823141,-0.06052472,-0.5831872,-0.07029441,-0.006389568,-0.04631069,0.9964302,0
12/6/2018 4:14:07 PM,959,00:00:00.0668219,959,60.35317,90,0.05764168,0.02692335,-0.5554321,0.1213618,0.02107147,-0.5542065,-0.2293276,-0.3588491,0.9047852,-0.2735427,-0.350347,0.8957853,-1.657355,-1.195047,5.142665,0.08228942,-0.06049408,-0.5832652,-0.07026868,-0.006342414,-0.0463288,0.9964315,0
12/6/2018 4:14:07 PM,975,00:00:00.0827840,975,60.35317,90,0.05764603,0.02692813,-0.5555115,0.1213666,0.02108043,-0.5542879,-0.229252,-0.3588586,0.9048006,-0.2726713,-0.3499199,0.8962179,-1.688642,-1.206575,5.202687,0.08229893,-0.06048545,-0.5833521,-0.07022973,-0.006330735,-0.04629485,0.9964359,0
12/6/2018 4:14:07 PM,992,00:00:00.0997370,992,60.35317,90,0.05762237,0.02693895,-0.5550806,0.1213432,0.02109444,-0.5538539,-0.2292042,-0.3588489,0.9048164,-0.2725632,-0.3498973,0.8962595,-1.703927,-1.218564,5.262463,0.08228149,-0.06047017,-0.5829297,-0.07017137,-0.006358793,-0.04627106,0.9964409,0
12/6/2018 4:14:08 PM,9,00:00:00.1166943,9,60.35317,90,0.05755679,0.02697348,-0.5549033,0.1212783,0.02113833,-0.5536695,-0.2290823,-0.3588067,0.9048641,-0.2724119,-0.3500101,0.8962615,-1.724988,-1.234694,5.331508,0.08223241,-0.06042875,-0.5827595,-0.07011052,-0.006423499,-0.04620151,0.996448,0
12/6/2018 4:14:08 PM,26,00:00:00.1334371,26,60.35317,90,0.0576042,0.02693808,-0.5551479,0.1213261,0.02110959,-0.5539041,-0.2289478,-0.3588092,0.9048971,-0.2722088,-0.3498006,0.896405,-1.748088,-1.250951,5.406263,0.08229363,-0.06045919,-0.5830073,-0.07006475,-0.006506461,-0.04615466,0.9964529,0
12/6/2018 4:14:08 PM,43,00:00:00.1503901,43,60.35317,90,0.05759212,0.02692967,-0.5551125,0.1213139,0.0211027,-0.5538536,-0.2284502,-0.358981,0.9049548,-0.271934,-0.3497456,0.8965098,-1.772999,-1.268308,5.487027,0.08229061,-0.06046465,-0.5829732,-0.07001746,-0.006627606,-0.04615078,0.9964556,0
12/6/2018 4:14:08 PM,59,00:00:00.1663489,59,60.35317,90,0.05772094,0.02688316,-0.5552627,0.1214418,0.02104921,-0.5539907,-0.2281712,-0.3591713,0.9049497,-0.2719713,-0.3495799,0.8965632,-1.798717,-1.288412,5.57391,0.08241595,-0.06051148,-0.5831255,-0.06997086,-0.006728347,-0.04621235,0.9964553,0
12/6/2018 4:14:08 PM,76,00:00:00.1833022,76,60.35317,90,0.05799317,0.02685114,-0.5556363,0.1217132,0.0210095,-0.5543563,-0.2279648,-0.3593268,0.90494,-0.271814,-0.3495284,0.8966309,-1.826432,-1.307569,5.662273,0.0826816,-0.06054347,-0.583505,-0.06991532,-0.006789381,-0.0462765,0.9964558,0
