StartTime,StartMilli,PathTime,PathMilli,FPS,SpinSpeed,EyeLeftX,EyeLeftY,EyeLeftY,EyeRightX,EyeRightX,EyeRightX,EyeLeftvecX,EyeLeftvecY,EyeLeftvecY,EyeRightXvec,EyeRightvecX,EyeRightvecX,hitX,hitY,hitZ,HMDposX,HMDposY,HMDposZ,HMDrotX,HMDrotY,HMDrotZ,vection
12/6/2018 4:12:08 PM,672,00:00:00,672,60.35743,90,0.04003682,0.03589892,-0.5734912,0.1035318,0.03292855,-0.566037,0.06408247,0.07070027,0.9954371,0.1011816,0.1013722,0.9896898,-0.02004188,1.698965,5,0.07042187,-0.05205049,-0.5926132,-0.1027361,-0.05564769,-0.02913499,0.9927235,0
12/6/2018 4:12:08 PM,691,00:00:00.0189583,691,60.35743,90,0.04010855,0.03594853,-0.573364,0.1036046,0.03298067,-0.5659176,0.06392928,0.07034453,0.9954721,0.1012038,0.1008546,0.9897404,-0.01911837,1.698058,5,0.07049116,-0.05200686,-0.5924623,-0.1028955,-0.0555843,-0.02911808,0.992711,0
12/6/2018 4:12:08 PM,708,00:00:00.0359053,708,60.35743,90,0.0400603,0.03595088,-0.5733582,0.1035559,0.03297785,-0.5659102,0.06359042,0.07008091,0.9955124,0.1012158,0.1004315,0.9897823,-0.01962675,1.698115,5.002554,0.07043299,-0.05201347,-0.5924309,-0.1030408,-0.05558769,-0.0291677,0.9926943,0
12/6/2018 4:12:08 PM,724,00:00:00.0528601,724,60.35743,90,0.04003931,0.0359469,-0.5734762,0.1035332,0.0329629,-0.5660179,0.06368671,0.06982214,0.9955244,0.1013619,0.09992569,0.9898185,-0.0208869,1.699086,5.008716,0.07039686,-0.05202891,-0.5925202,-0.1031806,-0.05565629,-0.02926959,0.9926729,0
12/6/2018 4:12:08 PM,740,00:00:00.0688164,740,60.35743,90,0.04005635,0.03595167,-0.5735318,0.1035487,0.03295704,-0.5660652,0.06359024,0.06931899,0.9955658,0.1017276,0.09920812,0.9898531,-0.02113387,1.700762,5.018456,0.0703993,-0.05203394,-0.5925539,-0.1032877,-0.05570885,-0.02936521,0.992656,0
12/6/2018 4:12:08 PM,756,00:00:00.0847737,756,60.35743,90,0.04007307,0.03593778,-0.5735139,0.1035648,0.03294026,-0.5660428,0.0633179,0.06849934,0.9956399,0.1018248,0.09855701,0.9899082,-0.02228969,1.700802,5.031049,0.07041166,-0.05205265,-0.5925206,-0.1033642,-0.05573977,-0.02939575,0.9926454,0
12/6/2018 4:12:08 PM,776,00:00:00.1047261,776,59.20066,90,0.04013074,0.03591396,-0.5736244,0.1036232,0.03291598,-0.5661598,0.06207428,0.0667292,0.9958383,0.1018355,0.09766401,0.9899956,-0.02413589,1.700122,5.047046,0.07046511,-0.05207992,-0.5926218,-0.1034374,-0.05568587,-0.0293981,0.9926407,0
12/6/2018 4:12:08 PM,793,00:00:00.1216746,793,59.20066,90,0.04013167,0.03593132,-0.5735839,0.1036246,0.03292796,-0.5661254,0.06212661,0.0656129,0.9959093,0.1017345,0.09727472,0.9900444,-0.02577665,1.703988,5.071717,0.07045612,-0.05206643,-0.5925792,-0.10347,-0.05563303,-0.02943675,0.9926391,0
12/6/2018 4:12:08 PM,810,00:00:00.1386290,810,59.20066,90,0.04011385,0.03596134,-0.5736545,0.1036063,0.03294606,-0.5661964,0.06191438,0.06407052,0.9960229,0.1016312,0.09635735,0.9901447,-0.02635235,1.707884,5.096763,0.07041965,-0.05204616,-0.5926344,-0.1035654,-0.05561765,-0.02953464,0.9926271,0
12/6/2018 4:12:08 PM,826,00:00:00.1545867,826,59.20066,90,0.04010832,0.0360305,-0.573639,0.1035991,0.033005,-0.5661712,0.06182032,0.0622278,0.9961455,0.1021632,0.09530786,0.9901915,-0.02889144,1.711156,5.126181,0.07039902,-0.05198957,-0.5925847,-0.1037386,-0.05568075,-0.02963214,0.9926026,0
12/6/2018 4:12:08 PM,843,00:00:00.1715411,843,59.20066,90,0.04010765,0.03608169,-0.573746,0.1035951,0.03304961,-0.5662523,0.06388883,0.06014337,0.9961431,0.1023334,0.09446409,0.9902547,-0.03079584,1.714556,5.157545,0.07039106,-0.05195322,-0.5926343,-0.1039955,-0.05586927,-0.02971923,0.9925625,0
12/6/2018 4:12:08 PM,859,00:00:00.1874985,859,59.20066,90,0.04014739,0.03608718,-0.5739526,0.1036317,0.03304546,-0.5664365,0.06535004,0.05727405,0.9962174,0.1034702,0.09290016,0.9902846,-0.02193381,1.706899,5.191997,0.07041968,-0.05196112,-0.5927963,-0.1041907,-0.05603123,-0.02982407,0.9925297,0
12/6/2018 4:12:08 PM,876,00:00:00.2044540,876,59.20066,90,0.04020284,0.03611799,-0.5740889,0.1036832,0.03306088,-0.5665458,0.06668751,0.05579134,0.9962128,0.1043982,0.09183709,0.9902863,-0.01851809,1.71096,5.229344,0.07045764,-0.05194577,-0.5928884,-0.1043725,-0.05622339,-0.02997682,0.9924952,0
12/6/2018 4:12:08 PM,893,00:00:00.2214091,893,59.20066,90,0.04021642,0.03616963,-0.5743682,0.1036923,0.03309697,-0.5667936,0.06706743,0.05506598,0.9962278,0.1049501,0.09119341,0.9902875,-0.01834045,1.720904,5.274257,0.07045496,-0.05190947,-0.593122,-0.1045491,-0.05645246,-0.03013445,0.9924588,0
12/6/2018 4:12:08 PM,909,00:00:00.2373654,909,59.20066,90,0.04024795,0.03617859,-0.5744618,0.1037203,0.03310165,-0.5668596,0.06778842,0.05454155,0.9962078,0.1056842,0.0903126,0.9902901,-0.01791507,1.731867,5.323665,0.07048596,-0.05190779,-0.5931821,-0.1046619,-0.05665997,-0.03019728,0.9924332,0
12/6/2018 4:12:08 PM,926,00:00:00.2543212,926,59.20066,90,0.04024624,0.03616033,-0.5745205,0.1037152,0.0330804,-0.5668916,0.06817719,0.05459357,0.9961784,0.1069487,0.08897637,0.9902754,-0.01694506,1.741282,5.374298,0.070488,-0.0519275,-0.593228,-0.1046572,-0.05686686,-0.03024273,0.9924205,0
12/6/2018 4:12:08 PM,942,00:00:00.2702848,942,59.20066,90,0.04029309,0.03620236,-0.5745739,0.1037588,0.0331173,-0.5669201,0.06885798,0.05460606,0.9961309,0.1076342,0.08843227,0.9902498,-0.01587519,1.754892,5.432883,0.07053479,-0.05188842,-0.5932676,-0.1046651,-0.05705693,-0.03030407,0.9924069,0
12/6/2018 4:12:08 PM,960,00:00:00.2882296,960,59.20066,90,0.04032871,0.03622316,-0.5745549,0.1037923,0.03313683,-0.5668833,0.06915604,0.05444183,0.9961193,0.1081068,0.08773575,0.9902603,-0.01469325,1.77016,5.49268,0.07057206,-0.05187182,-0.5932262,-0.1047418,-0.05719277,-0.03033322,0.9923901,0
