StartTime,StartMilli,PathTime,PathMilli,FPS,SpinSpeed,EyeLeftX,EyeLeftY,EyeLeftY,EyeRightX,EyeRightX,EyeRightX,EyeLeftvecX,EyeLeftvecY,EyeLeftvecY,EyeRightXvec,EyeRightvecX,EyeRightvecX,hitX,hitY,hitZ,HMDposX,HMDposY,HMDposZ,HMDrotX,HMDrotY,HMDrotZ,vection
12/6/2018 5:56:18 PM,452,00:00:00,452,60.31733,90,0.03621065,0.1534595,-0.5025759,0.09984702,0.1538642,-0.5093765,-0.1253886,0.2301964,0.9650323,-0.1037404,0.241116,0.9649357,0.002042472,1.320543,5,0.06403071,0.07484872,-0.5480773,-0.0145505,-0.05324624,-0.002390021,-0.9984726,0
12/6/2018 5:56:18 PM,468,00:00:00.0159508,468,60.31733,90,0.03619754,0.1533805,-0.5025879,0.0998328,0.15379,-0.5093986,-0.1261436,0.2292804,0.965152,-0.1045731,0.23953,0.9652408,0.001357809,1.318972,5,0.06401641,0.07477199,-0.548094,-0.01455037,-0.0533259,-0.002427153,-0.9984682,0
12/6/2018 5:56:18 PM,484,00:00:00.0329067,484,60.31733,90,0.0361774,0.1533257,-0.5025595,0.099812,0.1537395,-0.5093762,-0.1266095,0.2285806,0.9652569,-0.1045503,0.2396147,0.9652223,-0.002547406,1.311596,5.001448,0.06399704,0.07472045,-0.5480709,-0.01456545,-0.05337246,-0.002458973,-0.9984654,0
12/6/2018 5:56:18 PM,501,00:00:00.0498618,501,60.31733,90,0.03614321,0.153285,-0.5024206,0.09977703,0.1537044,-0.5092443,-0.1271784,0.2279376,0.9653342,-0.1045758,0.2395454,0.9652367,-0.003355689,1.310566,5.006492,0.06396446,0.07468365,-0.5479376,-0.01457993,-0.05342862,-0.002501413,-0.9984621,0
12/6/2018 5:56:18 PM,517,00:00:00.0658195,517,60.31733,90,0.03609108,0.1531808,-0.5021137,0.09972416,0.1536051,-0.5089439,-0.1274573,0.227739,0.9653443,-0.1045314,0.2395065,0.9652511,-0.004694328,1.310118,5.015209,0.06391381,0.07458144,-0.5476334,-0.01457662,-0.05348042,-0.002539683,-0.9984593,0
12/6/2018 5:56:18 PM,534,00:00:00.0827724,534,60.31733,90,0.03612436,0.1531391,-0.5024011,0.09975618,0.15357,-0.5092426,-0.12685,0.2288068,0.9651718,-0.1048615,0.2393776,0.9652473,-0.005117774,1.311574,5.0267,0.0639471,0.07454227,-0.547925,-0.01456973,-0.05357022,-0.002589752,-0.9984545,0
12/6/2018 5:56:18 PM,551,00:00:00.0997279,551,60.31733,90,0.03612239,0.1530964,-0.5023675,0.09975289,0.1535316,-0.509221,-0.125901,0.2309494,0.9647856,-0.1050515,0.2393903,0.9652235,-0.001790464,1.321994,5.041998,0.06394125,0.07450427,-0.5479019,-0.01460137,-0.05366442,-0.002619882,-0.9984488,0
12/6/2018 5:56:18 PM,567,00:00:00.1156860,567,60.31733,90,0.03610402,0.1530495,-0.5022743,0.09973319,0.1534841,-0.5091403,-0.1255853,0.2319078,0.9645969,-0.1047947,0.2395433,0.9652135,-0.0006525517,1.328467,5.061175,0.0639129,0.07445936,-0.5478183,-0.0146283,-0.0537621,-0.002613142,-0.9984432,0
12/6/2018 5:56:18 PM,584,00:00:00.1326397,584,60.31733,90,0.03601718,0.152984,-0.5017685,0.09964565,0.1534167,-0.5086409,-0.1254887,0.2324248,0.964485,-0.1043429,0.2400393,0.9651392,0.001458108,1.335217,5.082436,0.0638186,0.07439492,-0.5473189,-0.01465235,-0.05381304,-0.002596023,-0.9984401,0
12/6/2018 5:56:18 PM,600,00:00:00.1485967,600,60.31733,90,0.03601011,0.1529265,-0.501848,0.09963804,0.1533571,-0.5087256,-0.1254883,0.2326069,0.9644412,-0.1042478,0.2403851,0.9650634,0.003491133,1.345132,5.108705,0.06380562,0.07433499,-0.5473977,-0.01463454,-0.05385334,-0.002580272,-0.9984383,0
12/6/2018 5:56:18 PM,617,00:00:00.1655525,617,60.31733,90,0.03599126,0.1529243,-0.501703,0.09961891,0.1533546,-0.5085832,-0.1254964,0.2327209,0.9644126,-0.1043777,0.2403877,0.9650488,0.002989173,1.351876,5.137518,0.06378512,0.07432967,-0.5472484,-0.01459975,-0.05387348,-0.002579303,-0.9984377,0
12/6/2018 5:56:18 PM,634,00:00:00.1825091,634,60.31733,90,0.03596418,0.1528258,-0.5016401,0.09959158,0.1532555,-0.5085226,-0.1253739,0.233084,0.9643409,-0.1047985,0.2408693,0.964883,0.002403915,1.360877,5.172133,0.06375711,0.0742241,-0.5471739,-0.01451968,-0.05389116,-0.002578874,-0.9984379,0
12/6/2018 5:56:18 PM,650,00:00:00.1984639,650,60.31733,90,0.03595279,0.1527908,-0.5015733,0.09958012,0.1532219,-0.5084564,-0.1252281,0.2332645,0.9643161,-0.1050327,0.2415157,0.964696,0.0004924834,1.373321,5.211378,0.06374866,0.07418127,-0.5470917,-0.01441933,-0.05389579,-0.002594484,-0.9984391,0
12/6/2018 5:56:18 PM,667,00:00:00.2154183,667,60.31733,90,0.03590338,0.152747,-0.5011244,0.09953038,0.1531773,-0.5080107,-0.1251912,0.233419,0.9642835,-0.1051006,0.2424365,0.9644576,0.0003818125,1.384511,5.251853,0.06369778,0.07412893,-0.5466291,-0.01432317,-0.05392025,-0.002593593,-0.9984391,0
12/6/2018 5:56:18 PM,684,00:00:00.2323730,684,60.31733,90,0.03594378,0.1527126,-0.5014525,0.09957035,0.1531367,-0.5083432,-0.1250273,0.2338997,0.9641883,-0.1050659,0.2429101,0.9643422,-8.744746E-05,1.399952,5.299379,0.06372868,0.07408506,-0.5469465,-0.01424608,-0.05395367,-0.002548046,-0.9984386,0
12/6/2018 5:56:18 PM,700,00:00:00.2483307,700,60.31733,90,0.0360283,0.1527182,-0.502344,0.09965469,0.1531351,-0.5092366,-0.1246609,0.2342897,0.9641411,-0.1050878,0.2428507,0.9643548,0.001173235,1.414447,5.350987,0.06380355,0.07408428,-0.5478328,-0.01421083,-0.05396845,-0.002493465,-0.9984384,0
12/6/2018 5:56:18 PM,717,00:00:00.2652851,717,60.31733,90,0.03603195,0.1527017,-0.5025312,0.09965879,0.1531172,-0.5094199,-0.1240741,0.2346138,0.964138,-0.1049949,0.2428718,0.9643596,0.0004336238,1.42661,5.404777,0.06380873,0.07406586,-0.548016,-0.01419595,-0.0539368,-0.002484535,-0.9984403,0
12/6/2018 5:56:18 PM,734,00:00:00.2822399,734,60.31733,90,0.03607603,0.1526746,-0.5029326,0.09970384,0.1530929,-0.5098121,-0.1238099,0.2347635,0.9641355,-0.1048322,0.2427974,0.964396,0.0009094775,1.440701,5.466426,0.06386235,0.07404241,-0.5484178,-0.01422313,-0.05386541,-0.002506261,-0.9984438,0
12/6/2018 5:56:18 PM,750,00:00:00.2981972,750,60.31733,90,0.03607708,0.1525916,-0.5028846,0.09970552,0.1530125,-0.5097581,-0.1236086,0.2349709,0.9641108,-0.1047887,0.242205,0.9645497,0.0008638576,1.454422,5.533717,0.06386956,0.07396679,-0.5483788,-0.01429594,-0.05381923,-0.002523232,-0.9984452,0
