StartTime,StartMilli,PathTime,PathMilli,FPS,SpinSpeed,EyeLeftX,EyeLeftY,EyeLeftY,EyeRightX,EyeRightX,EyeRightX,EyeLeftvecX,EyeLeftvecY,EyeLeftvecY,EyeRightXvec,EyeRightvecX,EyeRightvecX,hitX,hitY,hitZ,HMDposX,HMDposY,HMDposZ,HMDrotX,HMDrotY,HMDrotZ,vection
12/6/2018 6:28:06 PM,199,00:00:00,199,60.3812,90,0.01664042,0.2329295,-0.5364155,0.0805269,0.233437,-0.532639,0.04842399,0.1951078,0.9795857,0.05384813,0.2251136,0.9728434,0.006663654,1.612484,4.987119,0.0514283,0.1518918,-0.5717242,-0.01684691,-0.02957908,0.003469215,0.9994144,0
12/6/2018 6:28:06 PM,216,00:00:00.0169544,216,60.3812,90,0.01663293,0.2329255,-0.5363932,0.08051945,0.2334401,-0.5326186,0.04790329,0.1950516,0.9796225,0.05401628,0.2250099,0.9728581,0.00278265,1.619506,5,0.05142954,0.1518984,-0.5717174,-0.01675623,-0.02956594,0.003527006,0.9994162,0
12/6/2018 6:28:06 PM,232,00:00:00.0329121,232,60.3812,90,0.01663421,0.2329004,-0.5363147,0.08052081,0.2334215,-0.5325422,0.04751644,0.1953478,0.9795823,0.05427525,0.2243621,0.9729932,0.001390319,1.616802,5.001544,0.05143853,0.1518829,-0.5716534,-0.01667281,-0.02954925,0.003580263,0.9994178,0
12/6/2018 6:28:06 PM,249,00:00:00.0498676,249,60.3812,90,0.01661186,0.2329618,-0.5364124,0.08049862,0.233488,-0.5326434,0.04751434,0.1957324,0.9795057,0.05465199,0.2243754,0.9729691,0.002002671,1.617739,5.006222,0.05142188,0.1519568,-0.571774,-0.01654178,-0.02952255,0.003624209,0.9994206,0
12/6/2018 6:28:06 PM,265,00:00:00.0658246,265,60.3812,90,0.01658855,0.2328882,-0.5363337,0.08047514,0.2334104,-0.5325612,0.04681963,0.1962526,0.979435,0.05482209,0.2243615,0.9729628,0.0008560717,1.620112,5.014781,0.05139629,0.1518878,-0.5717082,-0.01645163,-0.02954906,0.003595448,0.9994215,0
12/6/2018 6:28:06 PM,282,00:00:00.0827790,282,60.3812,90,0.01657936,0.2329295,-0.5363838,0.08046551,0.2334501,-0.5326037,0.04611189,0.1963763,0.9794437,0.05513091,0.2241893,0.972985,-0.001779199,1.622797,5.026358,0.05138997,0.1519339,-0.5717664,-0.01637696,-0.02960832,0.003584131,0.999421,0
12/6/2018 6:28:06 PM,297,00:00:00.0987364,297,60.3812,90,0.01662764,0.2329549,-0.5365696,0.08051359,0.2334735,-0.5327858,0.04571247,0.1962872,0.9794803,0.05499929,0.2234807,0.9731554,-0.001605302,1.624197,5.041974,0.05143813,0.1519607,-0.5719556,-0.01634427,-0.0296364,0.003569678,0.9994208,0
12/6/2018 6:28:06 PM,314,00:00:00.1156915,314,60.3812,90,0.01663382,0.2329375,-0.5364495,0.0805199,0.2334504,-0.5326672,0.04359755,0.195555,0.9797232,0.05471884,0.2231488,0.9732474,-0.004317731,1.628025,5.060503,0.05143588,0.1519388,-0.5718333,-0.01636419,-0.02962388,0.00352354,0.9994209,0
12/6/2018 6:28:06 PM,331,00:00:00.1326462,331,60.3217,90,0.01664675,0.232942,-0.5364035,0.08053315,0.2334481,-0.5326256,0.04370376,0.1956065,0.9797082,0.05393026,0.2211732,0.9737422,-0.0113408,1.626006,5.084774,0.05143772,0.1519376,-0.5717854,-0.01639181,-0.02958914,0.003471107,0.9994217,0
12/6/2018 6:28:06 PM,347,00:00:00.1486032,347,60.3217,90,0.01664477,0.2329487,-0.5363431,0.08053127,0.2334522,-0.5325665,0.04309974,0.197768,0.9793009,0.05380321,0.220172,0.9739761,-0.01374242,1.635085,5.11233,0.05143119,0.1519397,-0.5717189,-0.01643422,-0.0295781,0.003449065,0.9994214,0
