StartTime,StartMilli,PathTime,PathMilli,FPS,SpinSpeed,EyeLeftX,EyeLeftY,EyeLeftY,EyeRightX,EyeRightX,EyeRightX,EyeLeftvecX,EyeLeftvecY,EyeLeftvecY,EyeRightXvec,EyeRightvecX,EyeRightvecX,hitX,hitY,hitZ,HMDposX,HMDposY,HMDposZ,HMDrotX,HMDrotY,HMDrotZ,vection
12/6/2018 5:29:29 PM,639,00:00:00,639,60.44267,90,0.04719368,0.05481632,-0.5302497,0.1110961,0.05558657,-0.526801,0.1370168,0.2742836,0.9518377,0.03996401,0.2651511,0.9633784,0.2735361,1.757172,5,0.08216593,-0.02575995,-0.5664216,-0.01255669,-0.02702669,0.005680824,0.9995397,0
12/6/2018 5:29:29 PM,655,00:00:00.0159559,655,60.44267,90,0.04715279,0.05479693,-0.5300782,0.1110555,0.05555996,-0.5266345,0.1370168,0.2743867,0.9518079,0.03985871,0.2652917,0.963344,0.2755206,1.760839,5,0.08211372,-0.02577744,-0.5662652,-0.01248099,-0.02698669,0.005626883,0.9995421,0
12/6/2018 5:29:29 PM,672,00:00:00.0329102,672,60.44267,90,0.04715554,0.05478993,-0.5301182,0.1110584,0.05555052,-0.5266771,0.1368721,0.2745806,0.9517729,0.04086382,0.2672122,0.9627709,0.2762623,1.762347,4.994878,0.08211222,-0.02578253,-0.5663136,-0.01243872,-0.02696542,0.005609224,0.9995432,0
12/6/2018 5:29:29 PM,688,00:00:00.0493781,688,60.44267,90,0.0471851,0.05481122,-0.5307185,0.1110881,0.05557089,-0.5272792,0.1368752,0.2748615,0.9516913,0.04120805,0.2682203,0.9624759,0.2779637,1.767328,4.992339,0.08214014,-0.02575687,-0.5669253,-0.01237476,-0.02695129,0.005603966,0.9995445,0
12/6/2018 5:29:29 PM,704,00:00:00.0653359,704,60.44267,90,0.04713736,0.05480745,-0.5304697,0.1110405,0.05556468,-0.5270321,0.1370106,0.2751582,0.9515861,0.04147159,0.2685694,0.9623672,0.2790152,1.769791,4.993329,0.08208875,-0.02575768,-0.5666865,-0.01231888,-0.02693682,0.005586573,0.9995456,0
12/6/2018 5:29:29 PM,721,00:00:00.0822903,721,60.44267,90,0.04713742,0.05480807,-0.5305938,0.1110406,0.05556264,-0.5271569,0.1367668,0.2757954,0.9514367,0.04183147,0.2689748,0.9622384,0.2802056,1.773035,4.997467,0.08208533,-0.02575556,-0.5668173,-0.01228051,-0.02693035,0.005566867,0.9995464,0
12/6/2018 5:29:29 PM,738,00:00:00.0992457,738,60.44267,90,0.04716894,0.05485654,-0.5309689,0.1110722,0.05560758,-0.5275329,0.1369775,0.2762476,0.9512752,0.04182235,0.2689985,0.9622322,0.2806485,1.777922,5.005415,0.08211211,-0.02570748,-0.5671961,-0.01226102,-0.02692367,0.005539971,0.9995469,0
12/6/2018 5:29:29 PM,754,00:00:00.1152027,754,60.44267,90,0.04716684,0.05486347,-0.5310758,0.1110702,0.05561364,-0.5276409,0.137383,0.2768404,0.9510444,0.04186309,0.2691004,0.9622019,0.2818409,1.783358,5.016887,0.0821083,-0.02570086,-0.567304,-0.012259,-0.02691494,0.005533292,0.9995472,0
12/6/2018 5:29:29 PM,771,00:00:00.1321571,771,60.44267,90,0.04713495,0.05491544,-0.5313341,0.1110383,0.05567128,-0.5278997,0.1380423,0.2770632,0.950884,0.04188753,0.2690951,0.9622023,0.2825668,1.789387,5.031096,0.08208319,-0.02564701,-0.56756,-0.01227388,-0.02691227,0.005577205,0.9995469,0
12/6/2018 5:29:29 PM,787,00:00:00.1481145,787,60.44267,90,0.04712101,0.05491629,-0.5312709,0.1110242,0.05567865,-0.527835,0.1379736,0.2771528,0.9508679,0.04201851,0.2691446,0.9621828,0.284234,1.795691,5.049645,0.08207808,-0.02564471,-0.5674914,-0.01230039,-0.02692439,0.005627349,0.999546,0
12/6/2018 5:29:29 PM,804,00:00:00.1650692,804,60.44267,90,0.04710239,0.05491353,-0.5313956,0.1110053,0.05568331,-0.5279564,0.1368365,0.2775284,0.9509226,0.04234549,0.269221,0.9621471,0.2843732,1.803111,5.070898,0.08207051,-0.02564545,-0.56761,-0.0123256,-0.02695156,0.005684345,0.9995446,0
12/6/2018 5:29:29 PM,821,00:00:00.1820236,821,60.44267,90,0.04709416,0.05489819,-0.5313864,0.1109966,0.05567373,-0.5279405,0.1368283,0.2774943,0.9509338,0.04279547,0.2692663,0.9621145,0.2831305,1.812814,5.097699,0.08207322,-0.02565876,-0.5675948,-0.01233949,-0.02700457,0.005728324,0.9995427,0
12/6/2018 5:29:29 PM,837,00:00:00.1979810,837,60.44267,90,0.04708412,0.05491553,-0.5313636,0.1109862,0.05569426,-0.5279106,0.1357681,0.2777698,0.9510053,0.04304519,0.2692747,0.962101,0.2837279,1.823082,5.128124,0.08207082,-0.02564283,-0.5675614,-0.01238062,-0.02705963,0.005751458,0.9995406,0
12/6/2018 5:29:29 PM,854,00:00:00.2149354,854,60.44267,90,0.04709466,0.05493179,-0.5313329,0.1109963,0.05571215,-0.5278735,0.1349665,0.2775272,0.9511902,0.04335807,0.2691629,0.9621182,0.2811714,1.834326,5.159436,0.08208664,-0.02563038,-0.5675172,-0.01244231,-0.0271112,0.005761942,0.9995384,0
