StartTime,StartMilli,PathTime,PathMilli,FPS,SpinSpeed,EyeLeftX,EyeLeftY,EyeLeftY,EyeRightX,EyeRightX,EyeRightX,EyeLeftvecX,EyeLeftvecY,EyeLeftvecY,EyeRightXvec,EyeRightvecX,EyeRightvecX,hitX,hitY,hitZ,HMDposX,HMDposY,HMDposZ,HMDrotX,HMDrotY,HMDrotZ,vection
12/6/2018 5:08:25 PM,860,00:00:00,860,60.38165,90,0.05287889,0.06670844,-0.5067142,0.1166165,0.06752656,-0.5009822,0.03302685,0.3390473,0.9401895,0.03612949,0.2727969,0.961393,-0.2282736,1.571466,5,0.08965605,-0.01091223,-0.5472909,-0.02314433,0.04466658,-0.00743489,-0.9987062,0
12/6/2018 5:08:25 PM,878,00:00:00.0179514,878,60.38165,90,0.05308068,0.06674726,-0.5071146,0.1168182,0.06756643,-0.5013824,0.03358359,0.3375706,0.9407009,0.03617894,0.2723299,0.9615235,-0.2309263,1.563086,5,0.08985966,-0.01087058,-0.5476952,-0.02317016,0.04466857,-0.007444456,-0.9987054,0
12/6/2018 5:08:25 PM,894,00:00:00.0339087,894,60.38165,90,0.05305487,0.06672836,-0.5068399,0.1167926,0.06754603,-0.5011093,0.03399068,0.3338404,0.9420166,0.03612012,0.2722946,0.9615358,-0.2294355,1.558967,5.007912,0.089831,-0.01088989,-0.5474222,-0.02317483,0.04465555,-0.007432558,-0.9987059,0
12/6/2018 5:08:25 PM,910,00:00:00.0498661,910,60.38165,90,0.05323789,0.06678808,-0.5072428,0.1169758,0.0676024,-0.5015146,0.03363827,0.3297269,0.9434769,0.03581437,0.2715274,0.9617642,-0.2285596,1.549834,5.018583,0.09000864,-0.01083105,-0.5478283,-0.02318587,0.04463821,-0.00740638,-0.9987067,0
12/6/2018 5:08:25 PM,927,00:00:00.0668212,927,60.38165,90,0.05348333,0.06682783,-0.5078884,0.1172213,0.06763757,-0.5021597,0.03394445,0.3294364,0.9435675,0.03621868,0.2706194,0.9620048,-0.2309285,1.53796,5.032657,0.09024922,-0.01079108,-0.5484787,-0.02321699,0.04464232,-0.007372108,-0.998706,0
12/6/2018 5:08:25 PM,943,00:00:00.0827786,943,60.38165,90,0.05340593,0.06678159,-0.5081136,0.1171435,0.06759105,-0.5023803,0.03454721,0.3275037,0.9442181,0.03620428,0.2702463,0.9621103,-0.2300864,1.536136,5.05093,0.09017508,-0.01083298,-0.5487093,-0.02326798,0.04467811,-0.007373051,-0.9987032,0
12/6/2018 5:08:25 PM,960,00:00:00.0997330,960,60.38165,90,0.05335093,0.0667973,-0.5073658,0.117088,0.06761062,-0.5016284,0.03534535,0.322888,0.945777,0.03580969,0.2696863,0.9622822,-0.2298912,1.525568,5.071542,0.09012797,-0.01081077,-0.5479667,-0.0233179,0.04470882,-0.007406154,-0.9987004,0
12/6/2018 5:08:25 PM,976,00:00:00.1166881,976,60.38165,90,0.05314133,0.06677078,-0.506439,0.1168782,0.06758729,-0.5006995,0.03735059,0.3184248,0.947212,0.0357957,0.2686249,0.9625795,-0.2308983,1.52556,5.097272,0.08992391,-0.01083367,-0.5470419,-0.02333922,0.04472503,-0.007432447,-0.998699,0
12/6/2018 5:08:25 PM,993,00:00:00.1336424,993,60.38165,90,0.0534097,0.06682827,-0.507174,0.1171465,0.06764355,-0.5014327,0.03752638,0.3145262,0.9485068,0.03498041,0.2673364,0.9629681,-0.2292282,1.511101,5.126404,0.09019157,-0.01077899,-0.547772,-0.02331472,0.04473891,-0.007422031,-0.9986991,0
12/6/2018 5:08:26 PM,9,00:00:00.1496002,9,60.38165,90,0.05352477,0.06683474,-0.5076476,0.1172614,0.06765037,-0.501905,0.03810535,0.3116568,0.9494304,0.03429816,0.2662188,0.9633023,-0.2309727,1.498417,5.160103,0.09030735,-0.01077592,-0.5482385,-0.02327351,0.04474923,-0.007423206,-0.9986996,0
