StartTime,StartMilli,PathTime,PathMilli,FPS,SpinSpeed,EyeLeftX,EyeLeftY,EyeLeftY,EyeRightX,EyeRightX,EyeRightX,EyeLeftvecX,EyeLeftvecY,EyeLeftvecY,EyeRightXvec,EyeRightvecX,EyeRightvecX,hitX,hitY,hitZ,HMDposX,HMDposY,HMDposZ,HMDrotX,HMDrotY,HMDrotZ,vection
12/7/2018 5:30:21 PM,693,00:00:00,693,60.33704,90,0.005413741,0.1032472,-0.3705052,0.06925947,0.1053579,-0.3744121,-0.08332945,0.3797942,0.9213102,-0.06200317,0.3642138,0.9292491,-0.1608298,5,4.313673,0.04168351,-0.09148748,-0.5379578,0.06102543,0.03149259,0.01460375,0.9975324,0
12/7/2018 5:30:21 PM,709,00:00:00.0159498,709,60.33704,90,0.005396461,0.1032622,-0.3705337,0.06924227,0.1053754,-0.3744386,-0.08327997,0.3797689,0.9213251,-0.06077034,0.3656466,0.9287677,-0.1612155,5,4.312905,0.04168083,-0.09148385,-0.5379699,0.06098581,0.03147726,0.0146261,0.997535,0
12/7/2018 5:30:21 PM,725,00:00:00.0319068,725,60.33704,90,0.005434535,0.1032774,-0.370653,0.06928049,0.1053823,-0.3745599,-0.08144364,0.3799739,0.9214048,-0.06094697,0.3652415,0.9289156,-0.1604171,5,4.31189,0.04168992,-0.09148861,-0.5380722,0.06094197,0.0314873,0.01456099,0.9975382,0
12/7/2018 5:30:21 PM,742,00:00:00.0488604,742,60.33704,90,0.005470779,0.1032894,-0.3706207,0.06931651,0.1053916,-0.3745326,-0.08143762,0.3800482,0.9213747,-0.06100444,0.3653286,0.9288775,-0.1598085,5,4.312254,0.04170463,-0.09147224,-0.5380499,0.06096116,0.03152528,0.01453799,0.9975363,0
12/7/2018 5:30:21 PM,758,00:00:00.0648181,758,60.33704,90,0.005459078,0.1032825,-0.370558,0.06930414,0.105396,-0.3744748,-0.0813887,0.3800329,0.9213853,-0.06100493,0.3654933,0.9288127,-0.1602864,5,4.31351,0.04171205,-0.09145248,-0.5380139,0.06102007,0.03156992,0.01462113,0.99753,0
12/7/2018 5:30:21 PM,775,00:00:00.0817725,775,60.33704,90,0.005397863,0.1032404,-0.3703655,0.06924252,0.1053674,-0.3742818,-0.08097541,0.3802361,0.9213379,-0.06092551,0.3656062,0.9287735,-0.1613825,5,4.315165,0.04169072,-0.09146243,-0.5378501,0.0610907,0.03157391,0.01472475,0.997524,0
12/7/2018 5:30:21 PM,792,00:00:00.0987287,792,60.33704,90,0.005355736,0.1032277,-0.3703146,0.06920057,0.1053592,-0.3742253,-0.08085277,0.3802319,0.9213504,-0.06103682,0.3653046,0.9288848,-0.162156,5,4.315963,0.04167543,-0.09145959,-0.5378114,0.06112833,0.0315332,0.01476107,0.9975224,0
12/7/2018 5:30:21 PM,808,00:00:00.1146865,808,60.33704,90,0.005330648,0.1031097,-0.3698645,0.06917633,0.105236,-0.3737643,-0.0802414,0.3802592,0.9213926,-0.06118586,0.3656528,0.9287381,-0.1625957,5,4.316441,0.04166345,-0.09158127,-0.5373542,0.06112609,0.03144467,0.0147258,0.9975259,0
12/7/2018 5:30:21 PM,825,00:00:00.1316394,825,60.33704,90,0.005329464,0.1031566,-0.3698604,0.06917638,0.1052728,-0.3737454,-0.07945343,0.3803242,0.921434,-0.06130047,0.3655481,0.9287717,-0.1629218,5,4.315756,0.04167138,-0.09155031,-0.5373297,0.06109599,0.03132425,0.01465538,0.9975326,0
12/7/2018 5:30:21 PM,841,00:00:00.1475967,841,60.33704,90,0.005334712,0.1030378,-0.369505,0.06918275,0.1051466,-0.3733756,-0.07868066,0.3802834,0.9215171,-0.06131766,0.365961,0.9286079,-0.1634288,5,4.315284,0.04169327,-0.0916889,-0.5369475,0.06104893,0.03120779,0.01460565,0.9975398,0
12/7/2018 5:30:21 PM,857,00:00:00.1645515,857,60.33704,90,0.00532676,0.1030919,-0.3696454,0.06917547,0.1051969,-0.3735069,-0.07826921,0.3802817,0.9215529,-0.06136565,0.3659272,0.9286181,-0.163837,5,4.314237,0.04169923,-0.09165148,-0.5370656,0.06100502,0.03113386,0.01458169,0.9975453,0
12/7/2018 5:30:21 PM,875,00:00:00.1825058,875,60.27517,90,0.005357475,0.1031161,-0.3696674,0.06920627,0.1052175,-0.3735294,-0.07830904,0.380268,0.9215552,-0.06149684,0.3659987,0.9285812,-0.1635034,5,4.313523,0.04171861,-0.09164099,-0.5370741,0.06097083,0.03113569,0.01455389,0.9975477,0
12/7/2018 5:30:21 PM,890,00:00:00.1974636,890,60.27517,90,0.005423493,0.1031453,-0.3698931,0.06927157,0.1052438,-0.3737685,-0.07789218,0.3805527,0.921473,-0.06203558,0.36625,0.9284464,-0.1622432,5,4.313113,0.04174127,-0.09161671,-0.5373036,0.06096315,0.03123871,0.01452575,0.9975454,0
12/7/2018 5:30:21 PM,908,00:00:00.2154179,908,60.27517,90,0.005473487,0.1031701,-0.3699974,0.06932078,0.1052659,-0.3738874,-0.07818178,0.3806789,0.9213963,-0.06250665,0.3662913,0.9283984,-0.1609089,5,4.313302,0.04174437,-0.09158836,-0.5374222,0.06098069,0.03135205,0.01449784,0.997541,0
12/7/2018 5:30:21 PM,924,00:00:00.2313735,924,60.27517,90,0.005523416,0.1031664,-0.3700531,0.0693698,0.1052611,-0.3739584,-0.07814956,0.3809743,0.9212769,-0.06291515,0.3671274,0.9280405,-0.1596287,5,4.313949,0.0417494,-0.09158105,-0.5375004,0.06101807,0.03147176,0.01448051,0.9975352,0
12/7/2018 5:30:21 PM,940,00:00:00.2473305,940,60.27517,90,0.005532787,0.1031824,-0.3700556,0.06937852,0.1052803,-0.3739697,-0.07811414,0.3810286,0.9212576,-0.06292974,0.3671921,0.9280139,-0.1591962,5,4.314885,0.04174389,-0.09154698,-0.5375271,0.06106732,0.0315428,0.01450015,0.9975297,0
12/7/2018 5:30:21 PM,957,00:00:00.2642848,957,60.27517,90,0.005505593,0.1031972,-0.3700936,0.06935108,0.1052985,-0.3740101,-0.07787382,0.3809696,0.9213023,-0.06290986,0.36731,0.9279686,-0.159295,5,4.315357,0.04171984,-0.09152122,-0.5375772,0.06109403,0.03156279,0.01452418,0.9975272,0
