StartTime,StartMilli,PathTime,PathMilli,FPS,SpinSpeed,EyeLeftX,EyeLeftY,EyeLeftY,EyeRightX,EyeRightX,EyeRightX,EyeLeftvecX,EyeLeftvecY,EyeLeftvecY,EyeRightXvec,EyeRightvecX,EyeRightvecX,hitX,hitY,hitZ,HMDposX,HMDposY,HMDposZ,HMDrotX,HMDrotY,HMDrotZ,vection
12/7/2018 3:03:39 PM,281,00:00:00,281,60.38523,90,-0.4597386,0.05397125,-0.452298,-0.3979181,0.05500736,-0.4688253,-0.2055764,0.2943471,0.9333264,-0.1604623,0.315852,0.9351414,-0.2297143,5,3.572113,-0.442861,-0.1504027,-0.6010237,-0.0005882956,0.1302278,0.008241395,0.9914497,0
12/7/2018 3:03:39 PM,297,00:00:00.0159574,297,60.38523,90,-0.4596292,0.05399743,-0.4520145,-0.3978081,0.05503021,-0.46854,-0.2055893,0.2943573,0.9333203,-0.160587,0.3159905,0.9350731,-0.2293485,5,3.573004,-0.4427622,-0.1503668,-0.6007549,-0.0005470348,0.1302138,0.00821054,0.9914518,0
12/7/2018 3:03:39 PM,314,00:00:00.0329118,314,60.38523,90,-0.459675,0.05392843,-0.4521647,-0.3978541,0.05496159,-0.4686904,-0.205547,0.2943558,0.9333301,-0.1605725,0.3157407,0.9351601,-0.229238,5,3.573776,-0.4428135,-0.1504205,-0.6009266,-0.0004935358,0.1302163,0.008206108,0.9914516,0
12/7/2018 3:03:39 PM,331,00:00:00.0498669,331,60.38523,90,-0.4597045,0.05388395,-0.4524031,-0.3978852,0.0549181,-0.4689348,-0.2054653,0.2941712,0.9334064,-0.1609308,0.3147073,0.9354467,-0.2286226,5,3.575339,-0.4428663,-0.1504336,-0.6012108,-0.0003831277,0.1302649,0.008199543,0.9914453,0
12/7/2018 3:03:39 PM,347,00:00:00.0658250,347,60.38523,90,-0.4595497,0.05388435,-0.4519539,-0.3977329,0.05492073,-0.4684952,-0.2056862,0.2935634,0.933549,-0.1615906,0.3126157,0.9360342,-0.2278842,5,3.576427,-0.4427323,-0.1504207,-0.6007811,-0.0003425756,0.1303428,0.008211573,0.9914349,0
12/7/2018 3:03:39 PM,365,00:00:00.0837756,365,60.38523,90,-0.4594862,0.05390261,-0.4517156,-0.3976726,0.05494055,-0.4682685,-0.2065163,0.2923985,0.9337313,-0.1611314,0.3117841,0.9363906,-0.2271016,5,3.577096,-0.4426949,-0.1503934,-0.6005582,-0.0003128017,0.1304356,0.008219983,0.9914227,0
12/7/2018 3:03:39 PM,380,00:00:00.0987356,380,60.38523,90,-0.4595017,0.0538986,-0.4518121,-0.3976907,0.05493692,-0.4683746,-0.2067797,0.2918318,0.9338503,-0.1613071,0.3113797,0.9364949,-0.2266008,5,3.576531,-0.4427293,-0.1504049,-0.6006466,-0.0003395122,0.1305128,0.00822673,0.9914125,0
12/7/2018 3:03:39 PM,397,00:00:00.1156915,397,60.38523,90,-0.4596407,0.05378116,-0.4522406,-0.3978305,0.05481928,-0.468806,-0.2073221,0.2911666,0.9339377,-0.1605112,0.3105945,0.9368923,-0.2265174,5,3.576211,-0.4428764,-0.1505219,-0.6010765,-0.0003376336,0.1305368,0.008224711,0.9914093,0
12/7/2018 3:03:39 PM,414,00:00:00.1326455,414,60.38523,90,-0.459765,0.05374672,-0.4525479,-0.397954,0.05478314,-0.4691108,-0.2074343,0.290975,0.9339725,-0.1594219,0.3105473,0.9370939,-0.2266294,5,3.576215,-0.4430017,-0.1505522,-0.6013896,-0.0003194652,0.1305157,0.008209122,0.9914122,0
12/7/2018 3:03:39 PM,429,00:00:00.1486036,429,60.38523,90,-0.4598966,0.05364797,-0.4529487,-0.3980848,0.05468352,-0.4695085,-0.2080822,0.2902985,0.9340389,-0.1589014,0.3104769,0.9372057,-0.2267451,5,3.576686,-0.4431341,-0.1506376,-0.6018089,-0.0002705658,0.1304905,0.008195518,0.9914157,0
