StartTime,StartMilli,PathTime,PathMilli,FPS,SpinSpeed,EyeLeftX,EyeLeftY,EyeLeftY,EyeRightX,EyeRightX,EyeRightX,EyeLeftvecX,EyeLeftvecY,EyeLeftvecY,EyeRightXvec,EyeRightvecX,EyeRightvecX,hitX,hitY,hitZ,HMDposX,HMDposY,HMDposZ,HMDrotX,HMDrotY,HMDrotZ,vection
12/7/2018 3:18:25 PM,669,00:00:00,669,60.35709,90,-0.4846221,0.05182409,-0.5511278,-0.4232316,0.05264497,-0.5691982,-0.2063017,0.2654626,0.9417905,-0.1977801,0.2719128,0.9417783,-0.04101265,1.3189,5,-0.4652411,-0.02592525,-0.6021515,-0.02265246,-0.1427476,-0.003213279,-0.9894947,0
12/7/2018 3:18:25 PM,685,00:00:00.0159567,685,60.35709,90,-0.4847203,0.05180546,-0.5513731,-0.4233308,0.05262949,-0.5694464,-0.2061222,0.2660265,0.9416707,-0.1994831,0.2736856,0.9409053,-0.03937211,1.335869,5,-0.4653408,-0.02593707,-0.6024077,-0.02271503,-0.1427718,-0.00322868,-0.9894897,0
12/7/2018 3:18:25 PM,702,00:00:00.0329118,702,60.35709,90,-0.484672,0.05180921,-0.551096,-0.4232836,0.05263402,-0.5691731,-0.2061378,0.2661952,0.9416195,-0.1995362,0.2737298,0.9408811,-0.0437354,1.343145,5.002419,-0.4652958,-0.02593105,-0.6021353,-0.02273721,-0.1428025,-0.003230921,-0.9894848,0
12/7/2018 3:18:25 PM,719,00:00:00.0498662,719,60.35709,90,-0.4847075,0.05181356,-0.5511919,-0.4233203,0.05263942,-0.5692729,-0.2061121,0.2660221,0.9416741,-0.1993748,0.2725322,0.941263,-0.04321665,1.344978,5.008497,-0.4653341,-0.02592445,-0.6022358,-0.02275809,-0.1428339,-0.003235546,-0.9894797,0
12/7/2018 3:18:25 PM,736,00:00:00.0668227,736,60.35709,90,-0.4845382,0.05182443,-0.5511017,-0.4231506,0.0526498,-0.5691814,-0.2060659,0.2660291,0.9416822,-0.1989759,0.2721491,0.9414582,-0.04165483,1.343056,5.01806,-0.4651642,-0.02591425,-0.6021442,-0.02275266,-0.1428239,-0.00323264,-0.9894813,0
12/7/2018 3:18:25 PM,752,00:00:00.0827786,752,60.35709,90,-0.4845667,0.05183163,-0.551191,-0.4231786,0.05265643,-0.5692691,-0.2054278,0.2658408,0.9418747,-0.1989492,0.2721005,0.9414778,-0.0394991,1.345291,5.0311,-0.4651907,-0.02590972,-0.6022288,-0.02272505,-0.1428098,-0.003232385,-0.989484,0
12/7/2018 3:18:25 PM,769,00:00:00.0997330,769,60.35709,90,-0.4844785,0.05183747,-0.5510481,-0.423089,0.0526589,-0.5691217,-0.2053059,0.2657875,0.9419164,-0.1988423,0.2718282,0.9415791,-0.03634363,1.348392,5.046474,-0.4651011,-0.02590871,-0.602078,-0.0226859,-0.1427727,-0.003212184,-0.9894903,0
12/7/2018 3:18:25 PM,785,00:00:00.1156904,785,60.35709,90,-0.4844631,0.05187754,-0.5510348,-0.4230726,0.05269545,-0.5691051,-0.205273,0.2658007,0.9419199,-0.198814,0.2714541,0.941693,-0.03447816,1.351945,5.066478,-0.4650852,-0.0258739,-0.6020565,-0.02264271,-0.1427461,-0.003191272,-0.9894952,0
12/7/2018 3:18:25 PM,802,00:00:00.1326451,802,60.35709,90,-0.4843916,0.05187888,-0.5511389,-0.4230007,0.05269445,-0.5692082,-0.2053644,0.2658263,0.9418927,-0.1986739,0.2713872,0.9417418,-0.03275436,1.357121,5.088684,-0.4650146,-0.02587564,-0.6021563,-0.02261874,-0.142737,-0.003176462,-0.9894971,0
12/7/2018 3:18:25 PM,818,00:00:00.1486036,818,60.35709,90,-0.4843683,0.05187143,-0.5512229,-0.4229777,0.05268808,-0.5692931,-0.205289,0.265718,0.9419397,-0.1975294,0.2679975,0.9429525,-0.02723372,1.357953,5.115168,-0.4649911,-0.02588205,-0.6022418,-0.02262545,-0.142745,-0.003183834,-0.9894958,0
