StartTime,StartMilli,PathTime,PathMilli,FPS,SpinSpeed,EyeLeftX,EyeLeftY,EyeLeftY,EyeRightX,EyeRightX,EyeRightX,EyeLeftvecX,EyeLeftvecY,EyeLeftvecY,EyeRightXvec,EyeRightvecX,EyeRightvecX,hitX,hitY,hitZ,HMDposX,HMDposY,HMDposZ,HMDrotX,HMDrotY,HMDrotZ,vection
12/13/2018 7:25:05 PM,145,00:00:00,145,60.40678,90,0.02738373,0.121965,-0.4921053,0.09108844,0.1213595,-0.4982163,-0.09933211,0.210084,0.9726242,-0.1011703,0.2170526,0.970903,0.02075821,1.551084,4.978262,0.05494953,0.04016779,-0.5317706,-0.01969341,0.04788134,-0.003793264,0.9986517,0
12/13/2018 7:25:05 PM,161,00:00:00.0159737,161,60.40678,90,0.02737207,0.1219695,-0.4920925,0.09107746,0.1213634,-0.4981963,-0.09920496,0.2098816,0.9726809,-0.09774423,0.2155382,0.9715912,0.02987495,1.546831,4.977181,0.05494187,0.04017127,-0.5317531,-0.01970293,0.0478249,-0.003797777,0.9986542,0
12/13/2018 7:25:05 PM,178,00:00:00.0329135,178,60.40678,90,0.02738471,0.1219623,-0.4921627,0.09109022,0.1213583,-0.4982655,-0.09864429,0.209224,0.9728796,-0.0973691,0.2156073,0.9716135,0.03761029,1.54335,4.976934,0.0549584,0.04016252,-0.5318174,-0.01973704,0.04781651,-0.003779639,0.9986539,0
12/13/2018 7:25:05 PM,194,00:00:00.0488672,194,60.40678,90,0.02742681,0.1219886,-0.4924726,0.09113199,0.121389,-0.4985792,-0.09850797,0.2091914,0.9729004,-0.09717418,0.2153458,0.971691,0.04057142,1.541649,4.977662,0.05500335,0.04019229,-0.5321324,-0.01971791,0.04784605,-0.003746075,0.9986531,0
12/13/2018 7:25:05 PM,210,00:00:00.0648245,210,60.40678,90,0.02742645,0.1220283,-0.4927607,0.09113151,0.121428,-0.4988685,-0.09852646,0.2088751,0.9729664,-0.09735246,0.2153463,0.9716731,0.04162724,1.54209,4.980739,0.0550019,0.04022906,-0.5324153,-0.01975298,0.04785549,-0.003749542,0.9986519,0
12/13/2018 7:25:05 PM,227,00:00:00.0817789,227,60.40678,90,0.02742976,0.1220428,-0.4930821,0.09113537,0.1214428,-0.4991842,-0.09871855,0.2088439,0.9729537,-0.09725708,0.2149366,0.9717733,0.04056459,1.543281,4.985189,0.0550102,0.04023833,-0.5327222,-0.01982635,0.0478115,-0.003744591,0.9986526,0
12/13/2018 7:25:05 PM,244,00:00:00.0987332,244,60.40678,90,0.0274087,0.1220418,-0.4928311,0.0911151,0.1214499,-0.4989258,-0.1013945,0.20549,0.9733925,-0.09739364,0.2140941,0.9719456,0.03944185,1.544303,4.991822,0.055005,0.04023656,-0.5324587,-0.01988694,0.04775169,-0.003679933,0.9986545,0
12/13/2018 7:25:05 PM,260,00:00:00.1146909,260,60.40678,90,0.02741347,0.1220183,-0.4927697,0.09112,0.1214329,-0.4988636,-0.1024471,0.2062216,0.9731276,-0.09880674,0.2124058,0.9721734,0.03145419,1.534286,4.999881,0.05501901,0.04021369,-0.5323921,-0.01991852,0.04774489,-0.003627682,0.9986544,0
12/13/2018 7:25:05 PM,277,00:00:00.1316453,277,60.34566,90,0.02743208,0.1219915,-0.4928297,0.09113817,0.1214094,-0.4989286,-0.1032333,0.2065824,0.972968,-0.099646,0.2107285,0.9724526,0.02477606,1.534596,5.011069,0.05503925,0.04018624,-0.5324498,-0.0199478,0.04778378,-0.003599181,0.998652,0
12/13/2018 7:25:05 PM,294,00:00:00.1486004,294,60.34566,90,0.02738831,0.1219832,-0.4923635,0.09109349,0.1213973,-0.4984715,-0.103568,0.206495,0.9729509,-0.100134,0.2099374,0.9725736,0.02094899,1.534229,5.024585,0.05498527,0.04017459,-0.5319837,-0.01996991,0.04785611,-0.003626362,0.998648,0
