StartTime,StartMilli,PathTime,PathMilli,FPS,SpinSpeed,EyeLeftX,EyeLeftY,EyeLeftY,EyeRightX,EyeRightX,EyeRightX,EyeLeftvecX,EyeLeftvecY,EyeLeftvecY,EyeRightXvec,EyeRightvecX,EyeRightvecX,hitX,hitY,hitZ,HMDposX,HMDposY,HMDposZ,HMDrotX,HMDrotY,HMDrotZ,vection
12/13/2018 6:04:47 PM,430,00:00:00,430,60.35429,90,0.01513454,-0.02121109,-0.4767289,0.0791336,-0.0215482,-0.4768161,-0.008272359,0.2858493,0.9582389,0.00464344,0.3116461,0.9501869,0.01921883,1.680075,5,0.0466578,-0.1015305,-0.5164666,-0.001908168,0.0006862321,-0.002632415,0.9999945,0
12/13/2018 6:04:47 PM,447,00:00:00.0169551,447,60.35429,90,0.01509193,-0.02119721,-0.4765611,0.07909099,-0.02153237,-0.4766495,-0.007845039,0.2865382,0.9580367,0.006432164,0.3171992,0.9483371,0.05303988,1.721279,5,0.04661693,-0.1015145,-0.5163016,-0.001893926,0.0006951354,-0.002617071,0.9999946,0
12/13/2018 6:04:47 PM,464,00:00:00.0339119,464,60.35429,90,0.01496321,-0.02112197,-0.4757726,0.07896229,-0.02145446,-0.4758618,0.006646496,0.3071314,0.9516439,0.008262633,0.3196871,0.9474872,0.05986504,1.736133,5.000074,0.046491,-0.1014375,-0.5155144,-0.001888995,0.00070224,-0.00259623,0.9999946,0
12/13/2018 6:04:47 PM,480,00:00:00.0498649,480,60.35429,90,0.01476639,-0.0210404,-0.4745468,0.07876549,-0.02136754,-0.4746375,-0.006704374,0.2990779,0.9542052,0.008123904,0.3209715,0.947054,0.106933,1.808755,5.001177,0.04629998,-0.1013523,-0.5142913,-0.00187633,0.0007135369,-0.002554403,0.9999948,0
12/13/2018 6:04:47 PM,497,00:00:00.0668199,497,60.35429,90,0.0149838,-0.02114384,-0.4760478,0.07898291,-0.02146941,-0.476142,-0.006557505,0.2989694,0.9542401,0.009642526,0.3217273,0.9467832,0.06848846,1.790663,5.009565,0.04651725,-0.1014551,-0.5157938,-0.00187791,0.000740125,-0.002542162,0.9999948,0
12/13/2018 6:04:47 PM,513,00:00:00.0827769,513,60.35429,90,0.01479368,-0.02101519,-0.4749292,0.07879277,-0.02134488,-0.4750257,-0.006236865,0.2982214,0.9544764,0.01127843,0.3213242,0.9469021,0.07348238,1.796405,5.019345,0.0463205,-0.101333,-0.5146673,-0.001934623,0.0007586101,-0.002574207,0.9999945,0
12/13/2018 6:04:47 PM,530,00:00:00.0997331,530,60.35429,90,0.01486406,-0.02103373,-0.4754349,0.07886314,-0.02136291,-0.4755325,-0.006277737,0.298088,0.9545177,0.01140641,0.3204529,0.9471958,0.08080582,1.796427,5.0313,0.04639081,-0.1013586,-0.5151587,-0.002027201,0.0007675406,-0.002570167,0.9999943,0
12/13/2018 6:04:47 PM,547,00:00:00.1168380,547,60.35429,90,0.01469678,-0.02093322,-0.4744104,0.07869586,-0.02126188,-0.4745105,0.003768892,0.2843283,0.9587196,0.01123047,0.3176683,0.9481354,0.07968557,1.800632,5.04858,0.0462226,-0.1012614,-0.5141283,-0.002071427,0.0007874089,-0.002566021,0.9999943,0
12/13/2018 6:04:47 PM,563,00:00:00.1327949,563,60.35429,90,0.01459894,-0.02089608,-0.4738198,0.07859801,-0.02122512,-0.4739243,-0.001686128,0.2814975,0.9595605,0.01184455,0.3158628,0.9487309,0.1084761,1.753228,5.064179,0.04612149,-0.1012276,-0.5135335,-0.002111494,0.0008224095,-0.002568986,0.9999942,0
12/13/2018 6:04:47 PM,580,00:00:00.1497496,580,60.35429,90,0.01446163,-0.0208171,-0.4729628,0.07846069,-0.02114531,-0.4730704,-0.003046372,0.2809156,0.9597276,0.01075422,0.314049,0.9493459,0.09465346,1.746403,5.089527,0.04598333,-0.1011491,-0.5126762,-0.002122543,0.0008463956,-0.002562367,0.9999941,0
12/13/2018 6:04:47 PM,596,00:00:00.1657070,596,60.35429,90,0.01472401,-0.02090728,-0.4745522,0.07872309,-0.02123235,-0.474664,-0.003188593,0.2807619,0.9597722,0.0092581,0.3121947,0.949973,0.08819979,1.748338,5.119115,0.04624706,-0.1012372,-0.5142688,-0.002116048,0.0008790736,-0.002537733,0.9999942,0
12/13/2018 6:04:47 PM,613,00:00:00.1826620,613,60.35429,90,0.01463624,-0.02072336,-0.4740328,0.07863535,-0.02104321,-0.4741468,-0.0032059,0.2806492,0.9598051,0.0085606,0.3110166,0.950366,0.08348328,1.75197,5.150635,0.04616453,-0.1010521,-0.5137476,-0.002133993,0.0008954415,-0.002496962,0.9999942,0
12/13/2018 6:04:47 PM,630,00:00:00.1996182,630,60.35429,90,0.01468261,-0.02077968,-0.4744178,0.07868175,-0.02109013,-0.4745316,-0.003193737,0.2802708,0.9599156,0.008154367,0.3094693,0.9508744,0.08076105,1.756425,5.187784,0.04622278,-0.1011061,-0.5141277,-0.002163797,0.0008940307,-0.002423526,0.9999943,0
12/13/2018 6:04:47 PM,646,00:00:00.2155733,646,60.35429,90,0.01461275,-0.02074548,-0.4739567,0.07861192,-0.02105188,-0.4740708,-0.003281972,0.2795762,0.9601179,0.007633266,0.3074669,0.9515282,0.08019732,1.76655,5.228717,0.04615783,-0.1010719,-0.5136628,-0.002188646,0.0008965227,-0.00239175,0.9999944,0
12/13/2018 6:04:47 PM,663,00:00:00.2325280,663,60.3283,90,0.01466661,-0.02077422,-0.4743405,0.07866578,-0.02107947,-0.4744578,-0.003410268,0.2794832,0.9601445,0.007602773,0.307076,0.9516547,0.07885939,1.771562,5.271655,0.04621116,-0.1011028,-0.5140427,-0.002222427,0.0009212372,-0.002382779,0.9999943,0
12/13/2018 6:04:47 PM,680,00:00:00.2494842,680,60.3283,90,0.01452819,-0.02056061,-0.4733796,0.07852733,-0.02087047,-0.4735011,-0.003513194,0.2794725,0.9601473,0.007333771,0.3065044,0.951841,0.07900605,1.785628,5.321297,0.04606432,-0.1008934,-0.5130799,-0.00224757,0.0009545886,-0.002418663,0.9999941,0
12/13/2018 6:04:47 PM,696,00:00:00.2654404,696,60.3283,90,0.01444967,-0.02044333,-0.4728048,0.07844877,-0.02075913,-0.4729304,-0.003411372,0.281084,0.9596771,0.007237567,0.3050593,0.9523058,0.07861343,1.800381,5.376031,0.04597579,-0.1007775,-0.5125102,-0.00222824,0.0009869745,-0.00246497,0.999994,0
12/13/2018 6:04:47 PM,712,00:00:00.2813973,712,60.3283,90,0.0143619,-0.0203665,-0.4721643,0.07836097,-0.02068594,-0.4722938,-0.003572827,0.2822648,0.9593298,0.007885116,0.3044451,0.9524972,0.0792801,1.817209,5.431778,0.04588104,-0.1006972,-0.5118823,-0.00216154,0.001017078,-0.002493469,0.9999941,0
12/13/2018 6:04:47 PM,728,00:00:00.2983524,728,60.3283,90,0.0142774,-0.02035195,-0.471691,0.07827649,-0.02066908,-0.4718218,-0.003595052,0.282477,0.9592674,0.00739466,0.3043457,0.9525329,0.08107734,1.836694,5.491705,0.04579863,-0.1006761,-0.5114207,-0.002092894,0.001027333,-0.00247539,0.9999942,0
12/13/2018 6:04:47 PM,745,00:00:00.3153071,745,60.3283,90,0.01419605,-0.02036886,-0.4712883,0.07819515,-0.02068108,-0.471419,-0.002047786,0.284357,0.9587163,0.006980454,0.3042989,0.9525511,0.07961874,1.858089,5.562438,0.04572352,-0.1006854,-0.5110284,-0.002027493,0.001025953,-0.002437148,0.9999945,0
