StartTime,StartMilli,PathTime,PathMilli,FPS,SpinSpeed,EyeLeftX,EyeLeftY,EyeLeftY,EyeRightX,EyeRightX,EyeRightX,EyeLeftvecX,EyeLeftvecY,EyeLeftvecY,EyeRightXvec,EyeRightvecX,EyeRightvecX,hitX,hitY,hitZ,HMDposX,HMDposY,HMDposZ,HMDrotX,HMDrotY,HMDrotZ,vection
12/13/2018 7:43:33 PM,564,00:00:00,564,60.33077,90,0.03650375,0.1154378,-0.5077614,0.1004925,0.1153385,-0.5089587,-0.0602566,0.263395,0.9628044,-0.01961385,0.1988863,0.9798263,-0.05139282,1.565311,5,0.06766018,0.03445484,-0.546427,-0.01196115,0.009362815,-0.0006643331,0.9998844,0
12/13/2018 7:43:33 PM,581,00:00:00.0169547,581,60.33077,90,0.03656853,0.1154334,-0.5078487,0.1005573,0.1153506,-0.509045,-0.06020792,0.2634123,0.9628027,-0.02046463,0.1986881,0.9798491,-0.05539419,1.567576,5,0.06774652,0.03445764,-0.5465121,-0.01197293,0.009353613,-0.0005350349,0.9998844,0
12/13/2018 7:43:33 PM,598,00:00:00.0339083,598,60.33077,90,0.03662843,0.1153992,-0.5078315,0.1006172,0.1153202,-0.5090277,-0.06131179,0.2634792,0.9627147,-0.02067998,0.1986146,0.9798595,-0.06058735,1.569036,5.003102,0.06781137,0.0344238,-0.5464916,-0.0119931,0.009352509,-0.0005050285,0.9998842,0
12/13/2018 7:43:33 PM,614,00:00:00.0498657,614,60.33077,90,0.03670836,0.1153559,-0.5079921,0.100697,0.115266,-0.5091937,-0.06206957,0.2630323,0.9627883,-0.02085727,0.1983384,0.9799117,-0.06194183,1.569974,5.009939,0.06787413,0.0343793,-0.5466636,-0.01193845,0.009395336,-0.000590151,0.9998844,0
12/13/2018 7:43:33 PM,631,00:00:00.0668215,631,60.33077,90,0.03681431,0.1153782,-0.507851,0.1008027,0.1152684,-0.5090662,-0.0630908,0.2628961,0.9627592,-0.02081911,0.1981889,0.9799427,-0.06397301,1.56748,5.019781,0.06794627,0.03440097,-0.5465484,-0.01181838,0.009503726,-0.0007456014,0.9998848,0
12/13/2018 7:43:33 PM,648,00:00:00.0837755,648,60.33077,90,0.03683012,0.1153774,-0.5078984,0.1008182,0.1152519,-0.5091298,-0.06399874,0.2639964,0.9623981,-0.02040539,0.1974832,0.9800939,-0.06611326,1.572755,5.03387,0.06793231,0.03439902,-0.5466175,-0.0117317,0.009631066,-0.0008669849,0.9998844,0
12/13/2018 7:43:33 PM,664,00:00:00.0997325,664,60.33077,90,0.03679202,0.1153698,-0.5083285,0.1007798,0.1152419,-0.5095721,-0.06410351,0.2642059,0.9623336,-0.02044897,0.1977937,0.9800304,-0.06481045,1.575357,5.051296,0.06788331,0.03440079,-0.5470759,-0.01159334,0.00972686,-0.0008861528,0.9998851,0
12/13/2018 7:43:33 PM,681,00:00:00.1166887,681,60.33077,90,0.03677651,0.1153881,-0.5082942,0.1007641,0.1152641,-0.5095478,-0.06477834,0.2632851,0.9625407,-0.02059273,0.1979007,0.9800057,-0.06721956,1.580209,5.071611,0.06786631,0.03442997,-0.5470654,-0.01147636,0.00980475,-0.0008558889,0.9998857,0
12/13/2018 7:43:33 PM,697,00:00:00.1326460,697,60.33077,90,0.03669199,0.1154484,-0.5081086,0.1006795,0.1153298,-0.509366,-0.06472374,0.2631825,0.9625725,-0.02026106,0.1967719,0.9802399,-0.06706989,1.584187,5.096525,0.0677861,0.03449591,-0.546888,-0.01143748,0.009834309,-0.0008141879,0.9998859,0
12/13/2018 7:43:33 PM,714,00:00:00.1496047,714,60.33077,90,0.03670091,0.1154802,-0.5081205,0.1006886,0.1153711,-0.5093704,-0.06399595,0.2610639,0.9631979,-0.02197189,0.1946342,0.9806298,-0.06906503,1.583832,5.123968,0.06781165,0.03452866,-0.5468886,-0.01148579,0.009775416,-0.0007404161,0.999886,0
