StartTime,StartMilli,PathTime,PathMilli,FPS,SpinSpeed,EyeLeftX,EyeLeftY,EyeLeftY,EyeRightX,EyeRightX,EyeRightX,EyeLeftvecX,EyeLeftvecY,EyeLeftvecY,EyeRightXvec,EyeRightvecX,EyeRightvecX,hitX,hitY,hitZ,HMDposX,HMDposY,HMDposZ,HMDrotX,HMDrotY,HMDrotZ,vection
12/13/2018 8:21:56 PM,873,00:00:00,873,60.36045,90,0.03891477,0.002330832,-0.4756441,0.1028738,0.001787148,-0.4778697,-0.09540274,0.2496191,0.9636331,-0.07350177,0.2460367,0.9664696,-0.1979192,1.194636,5,0.06873097,-0.0763289,-0.5197762,-0.0192924,-0.017305,0.004583013,-0.9996536,0
12/13/2018 8:21:56 PM,889,00:00:00.0159585,889,60.36045,90,0.03895105,0.002356671,-0.4757436,0.1029099,0.001810201,-0.477973,-0.09555896,0.2489303,0.9637957,-0.06906948,0.2438043,0.9673617,-0.2022182,1.186587,5,0.06876158,-0.0763108,-0.5198658,-0.01921784,-0.0173344,0.004604044,-0.9996545,0
12/13/2018 8:21:56 PM,906,00:00:00.0329121,906,60.36045,90,0.03902559,0.002400033,-0.4758322,0.1029842,0.001849927,-0.4780664,-0.09586734,0.247268,0.9641929,-0.06905904,0.2438454,0.9673522,-0.1899042,1.180267,5.005863,0.0688288,-0.07627826,-0.5199399,-0.01911209,-0.01737222,0.00463135,-0.9996557,0
12/13/2018 8:21:56 PM,923,00:00:00.0498668,923,60.36045,90,0.03898546,0.002430156,-0.4758115,0.1029438,0.001878217,-0.4780531,-0.09626082,0.246748,0.9642869,-0.06871703,0.2434977,0.9674641,-0.1905923,1.179274,5.015912,0.06878199,-0.07626115,-0.5199006,-0.01897094,-0.01743047,0.004644241,-0.9996573,0
12/13/2018 8:21:56 PM,939,00:00:00.0668245,939,60.36045,90,0.03897879,0.002419248,-0.4759828,0.1029369,0.001866639,-0.4782313,-0.09619485,0.2466073,0.9643295,-0.06882557,0.2433203,0.967501,-0.1908405,1.181157,5.029565,0.0687704,-0.0762836,-0.5200546,-0.0188402,-0.01748448,0.004648247,-0.9996588,0
12/13/2018 8:21:56 PM,955,00:00:00.0827786,955,60.36045,90,0.03905839,0.002442859,-0.4761415,0.1030163,0.001891218,-0.4783953,-0.09624033,0.2465243,0.9643462,-0.06885923,0.2432402,0.9675188,-0.1913169,1.185382,5.046896,0.06884813,-0.07627002,-0.5201967,-0.018718,-0.01752655,0.004639286,-0.9996604,0
12/13/2018 8:21:56 PM,971,00:00:00.0987359,971,60.36045,90,0.03913439,0.002510935,-0.4763253,0.1030922,0.001959711,-0.4785816,-0.09569237,0.2438503,0.9650804,-0.06760818,0.2420966,0.9678938,-0.1889991,1.187266,5.066246,0.06892335,-0.07621001,-0.5203665,-0.01862182,-0.0175468,0.004634757,-0.9996619,0
12/13/2018 8:21:56 PM,988,00:00:00.1156925,988,60.36045,90,0.03916218,0.00250639,-0.4765946,0.1031199,0.001955092,-0.4788535,-0.09517876,0.243074,0.9653269,-0.06702409,0.2419838,0.9679626,-0.1863341,1.184023,5.088746,0.06894972,-0.07622255,-0.5206225,-0.01852904,-0.01756732,0.004634139,-0.9996632,0
12/13/2018 8:21:57 PM,5,00:00:00.1326457,5,60.36045,90,0.0392207,0.00249093,-0.4769865,0.1031784,0.001939632,-0.4792476,-0.09510328,0.243019,0.9653482,-0.06707016,0.241949,0.9679682,-0.1857884,1.18885,5.116633,0.06900711,-0.07624533,-0.5210021,-0.01844374,-0.01758519,0.004632963,-0.9996645,0
12/13/2018 8:21:57 PM,22,00:00:00.1496001,22,60.36045,90,0.03931867,0.002536654,-0.4772799,0.1032763,0.001985207,-0.4795436,-0.09459995,0.2430031,0.9654016,-0.06676565,0.2417859,0.9680299,-0.1863793,1.196079,5.148647,0.06910346,-0.07620656,-0.5212841,-0.01836352,-0.01760641,0.004633059,-0.9996656,0
12/13/2018 8:21:57 PM,38,00:00:00.1655574,38,60.36045,90,0.03924821,0.00249701,-0.4770642,0.1032057,0.001947381,-0.4793307,-0.09459115,0.2428951,0.9654297,-0.06674511,0.2417904,0.9680302,-0.1860865,1.204294,5.18451,0.06903372,-0.07625233,-0.521057,-0.01828197,-0.01762868,0.004617764,-0.9996668,0
12/13/2018 8:21:57 PM,55,00:00:00.1825129,55,60.36045,90,0.03932612,0.002518192,-0.4773198,0.1032835,0.001969218,-0.4795886,-0.09401256,0.2429679,0.9654679,-0.06666198,0.2423673,0.9678918,-0.1858493,1.213991,5.222047,0.0691111,-0.07623496,-0.5213062,-0.0182339,-0.01764684,0.004612137,-0.9996673,0
