StartTime,StartMilli,PathTime,PathMilli,FPS,SpinSpeed,EyeLeftX,EyeLeftY,EyeLeftY,EyeRightX,EyeRightX,EyeRightX,EyeLeftvecX,EyeLeftvecY,EyeLeftvecY,EyeRightXvec,EyeRightvecX,EyeRightvecX,hitX,hitY,hitZ,HMDposX,HMDposY,HMDposZ,HMDrotX,HMDrotY,HMDrotZ,vection
12/13/2018 8:44:51 PM,73,00:00:00,73,60.38097,90,0.02926543,-0.01927122,-0.475278,0.09318244,-0.02002887,-0.4721093,0.04558758,0.2249253,0.973309,0.05575364,0.2150812,0.9750034,0.1018937,1.604227,5,0.06196696,-0.1020851,-0.5083911,-0.03250369,-0.02455856,-0.006723136,0.9991472,0
12/13/2018 8:44:51 PM,91,00:00:00.0179532,91,60.26321,90,0.02933002,-0.01927754,-0.4754765,0.09324707,-0.02004316,-0.4723103,0.04707892,0.2223528,0.973829,0.05527302,0.2144215,0.975176,0.1016628,1.586146,5,0.06202155,-0.1020825,-0.5086216,-0.03231922,-0.02453741,-0.006780187,0.9991534,0
12/13/2018 8:44:51 PM,107,00:00:00.0339099,107,60.26321,90,0.02935904,-0.01931227,-0.4755468,0.09327614,-0.0200861,-0.4723837,0.0469792,0.2232167,0.9736361,0.05496525,0.2145511,0.9751649,0.1019751,1.579297,4.99906,0.062039,-0.1021163,-0.5087056,-0.03224716,-0.02451189,-0.006841812,0.9991559,0
12/13/2018 8:44:51 PM,123,00:00:00.0498672,123,60.26321,90,0.02938133,-0.01929098,-0.4753964,0.09329881,-0.02006663,-0.4722414,0.04685277,0.2229275,0.9737085,0.05373409,0.2140913,0.9753346,0.101629,1.58169,5.001452,0.06205574,-0.1020881,-0.5085779,-0.03213502,-0.02444883,-0.006851206,0.999161,0
12/13/2018 8:44:51 PM,140,00:00:00.0668219,140,60.26321,90,0.02940641,-0.01930115,-0.4754165,0.09332454,-0.02007701,-0.4722746,0.04737609,0.2238343,0.973475,0.05311384,0.2139489,0.9753999,0.09885419,1.579985,5.007223,0.06207465,-0.1020915,-0.508621,-0.03203737,-0.02434716,-0.006847124,0.9991666,0
12/13/2018 8:44:51 PM,157,00:00:00.0837763,157,60.26321,90,0.02942064,-0.01925866,-0.4755851,0.09333937,-0.02002949,-0.4724543,0.04780798,0.2247815,0.9732357,0.05282797,0.2133916,0.9755374,0.09953411,1.584388,5.016635,0.06209018,-0.1020418,-0.5088063,-0.0319697,-0.02426145,-0.006803282,0.9991712,0
12/13/2018 8:44:51 PM,174,00:00:00.1007314,174,60.26321,90,0.02947755,-0.0192753,-0.4761165,0.09339695,-0.02003849,-0.4729976,0.0447014,0.2222182,0.9739717,0.05204153,0.2135957,0.975535,0.1004729,1.589559,5.029624,0.06215091,-0.102054,-0.5093452,-0.03196073,-0.02417121,-0.006740558,0.9991741,0
12/13/2018 8:44:51 PM,190,00:00:00.1166891,190,60.26321,90,0.02950949,-0.01925488,-0.4762625,0.09342967,-0.02001046,-0.4731577,0.04421102,0.2209022,0.9742935,0.04925109,0.2175601,0.9748036,0.09074104,1.588346,5.047954,0.06218498,-0.1020329,-0.5094906,-0.03200727,-0.02406285,-0.006678657,0.9991757,0
12/13/2018 8:44:51 PM,207,00:00:00.1336435,207,60.26321,90,0.02953214,-0.01927083,-0.4765356,0.09345318,-0.02002237,-0.4734473,0.04398023,0.2204011,0.9744173,0.04775644,0.2199858,0.9743334,0.08297569,1.603325,5.068878,0.06220381,-0.1020502,-0.5097641,-0.03205615,-0.02393381,-0.006644106,0.9991774,0
12/13/2018 8:44:51 PM,223,00:00:00.1496005,223,60.26321,90,0.02950266,-0.01922902,-0.4765431,0.09342417,-0.01997693,-0.4734639,0.04386492,0.2202405,0.9744589,0.04598704,0.2220842,0.9739424,0.07890362,1.61755,5.094407,0.06217384,-0.1020105,-0.5097668,-0.03211298,-0.02386371,-0.006614778,0.9991775,0
